"Dyad","Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"251-716","FRA","0.0833425850858508","3.80434572733179e-12","1.26675417128075e-07","3.68702345043825e-09","999.999946161483","999.000000000023","1.80132850912286","8.55222559437152e-08","999.004434339202","0.999991284287114",3.45042891224135
"261-970","MBiases","0.25","0.129301068301655","1.12500009308292e-11","1.301736496373e-14","0","0","0","0","0","0",48.0134705587541
"261-970","WSLS","0.167254474093676","0.143611131934107","2.13598445500396e-07","2.56554607239168e-07","2.85283199750175","999.999892537075","1.8577104299311e-09","0","0","0",36.5902799002232
"261-970","FRA","0.172571523806411","0.123656361610844","2.77555756156289e-17","1.28115157371766e-11","2.2737837758855","999.996815704685","1.0891341162278e-08","0.482541490183064","999.993788603065","0.997513495382716",36.1025243414594
"269-653","MBiases","0.191491695348308","0.0850972680810724","2.40583664101734e-10","8.56412163408038e-13","0","0","0","0","0","0",35.0473336927722
"269-653","WSLS","0.177776555993121","0.0666408526015335","0","0","999.999959790612","999.996571849314","18.677887496648","0","0","0",30.8090176194728
"269-653","FRA","0.160305914856673","0.0513144956373356","9.63959562172434e-09","3.28750376990539e-07","999.999999999995","999.00004716977","18.7366413401926","0.38002476025939","999.999999999984","0.999999817997037",29.9259100126177
"277-491","MBiases","0","0","0","0","0","0","0","0","0","0",0
"277-491","WSLS","1.98800109152408e-08","4.51788725874813e-09","1.09927233616774e-05","6.35820147920629e-09","998.382956221757","999.233508399948","31.7182517172648","0","0","0",0.00159952022921331
"277-491","FRA","2.3083199462981e-08","1.37873932350568e-05","8.8222542118932e-08","1.31786000896472e-05","997.538225922708","999.999997533265","31.7853334831777","6.71185329537138e-10","999.998298523471","0.999341125009852",0.00159952022921331
"303-869","MBiases","0.19511736191997","5.22150100934482e-11","0","8.62394169964809e-10","0","0","0","0","0","0",20.2361729486501
"303-869","WSLS","0.062476395437759","2.57220213184528e-08","1.96072259817104e-09","2.77555756156289e-16","1.81314384026876","999.998845429545","0.368639239841928","0","0","0",13.2386507993119
"303-869","FRA","0.0606232680321337","0","0","3.09991268765408e-10","999.84198106365","999.000000000087","27.348501826499","2.69699955300023","999.000000000001","1",10.9414139476619
"313-199","MBiases","0.0789422185282344","0.25","2.77555756156289e-17","1.75764680587776e-11","0","0","0","0","0","0",42.1600289776249
"313-199","WSLS","0.0433928417032688","0.249999999999979","9.99974989871755e-05","9.99802766679797e-05","999.989217971687","999.059789039892","0.00700519454909987","0","0","0",29.6196648139164
"313-199","FRA","0.0432307226949882","0.230252830014296","1.40373141027661e-08","8.85402862138562e-15","999.999427241624","999.006990114154","0.00557469657526255","2.10525448455323","999.999999999895","0.997598697581831",21.2971383348752
"331-863","MBiases","0.24999999980503","0.107142639815762","2.18063678225633e-10","1.00029706739946e-12","0","0","0","0","0","0",9.04347182722304
"331-863","WSLS","0.200013569857862","0.114231986563696","3.78929262967453e-10","1.47740013278774e-09","0.33357107257731","999.128079450197","0.00245452725432393","0","0","0",8.74388314712244
"331-863","FRA","0.166575714615085","0.119015427345463","6.42957391910892e-08","0","1.79301018476963e-11","999.999999329164","31.9228347079146","1.33338190057081","999.000000000423","0.999999999994317",8.35276868576294
"352-425","MBiases","0.25","0.25","0","0","0","0","0","0","0","0",75.1067555784056
"352-425","WSLS","0.24999996925147","0.249999999981697","9.9964437341199e-05","0.000100037655965723","37.2293141273236","999.999999990656","25.3732376184914","0","0","0",10.4597065115161
"352-425","FRA","0.249999999980498","0.24999988593192","0.000100005689780969","9.99896428159064e-05","37.219128449565","999.99999757161","20.5341209164607","0","999.000000001134","0.999418705254809",10.4597060481594
"354-344","MBiases","0.0200035660785632","5.09592368302947e-14","1.68497160668579e-12","0","0","0","0","0","0","0",4.90195568054481
"354-344","WSLS","0.0199997073551231","3.88332113451795e-07","7.66848488875649e-09","4.20061208039613e-12","0.000121385332674251","999.999934243642","13.6190767734089","0","0","0",4.93694343445858
"354-344","FRA","0.0199805553598085","7.22552322575121e-05","3.91787613092387e-06","0","1.96836946085927","999","31.9999673422206","5.04768948861312e-07","1000","0.526833409301121",4.93693883751989
"356-137","MBiases","0.25","0.25","0","0","0","0","0","0","0","0",55.0997980216384
"356-137","WSLS","0.108079375230798","0.249999999999869","9.99927802410733e-05","9.99731705609019e-05","7.03900821106468","999.014748210957","0","0","0","0",18.9523333387802
"356-137","FRA","0.000100047479945631","0.25","0.00010000149647886","9.9953274804665e-05","0","999.00491692321","4.2300188241029e-07","7.88254663980043","999.000000033499","0.992779028516465",16.5739867434992
"359-904","MBiases","0.159100521121151","0.0227308338874232","5.67323965583455e-14","9.96179236323336e-10","0","0","0","0","0","0",23.8762911819883
"359-904","WSLS","0.131626282104737","0.0234751357987932","1.65290671982898e-08","2.62720137311767e-10","0.302508586228323","999.989828712344","22.4747923621796","0","0","0",23.239093468283
"359-904","FRA","0.131602300256112","0.0234749886873241","3.87579614311018e-06","3.26350744372927e-06","0.302408052796133","999.978524479991","20.4259920291172","2.52221354912763e-07","999.999638676981","0.99996351266603",23.2390942270209
"379-897","MBiases","1.40474659682255e-10","0.086962323594118","1.9151347174784e-15","1.40915057400548e-13","0","0","0","0","0","0",12.8970556617836
"379-897","WSLS","0","0.0466902371603732","0","1.92901250528621e-15","2.34872713267542","1000","0","0","0","0",9.59635314301855
"379-897","FRA","4.16617851328738e-11","0.0465099350657991","0","8.53067616546355e-13","9.38591204757699e-07","999.988339800226","2.52597942562716e-12","3.72151219596578","999.996931752085","0.999999999999821",9.33744002934954
"416-710","MBiases","0.25","0.25","0","1.38777878078145e-17","0","0","0","0","0","0",61.6294744480187
