index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
1983,27382885,32,288513,Absent,42,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,23,9,Unicorn_Absent,-1,-1,9,273,0.94375,24.0,0.18181818181818182,33.0,0.0,0.375,RS,RS,0.007454186295369829,0.96875,0.0,0.0,5,1.0,0.075
1985,27382885,33,288513,Absent,28,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,18,14,Unicorn_Absent,-1,-1,9,291,0.9125,25.0,0.2564102564102564,43.0,0.3333333333333333,0.453125,RS,RS,0.006737946999085467,0.94375,0.18181818181818182,0.0,9,0.007454186295369829,0.075
1989,27382885,35,288513,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1,6,305,0.8875,32.0,0.29545454545454547,49.0,0.3333333333333333,0.484375,RIGHT,RIGHT,1.0,0.9125,0.2564102564102564,0.3333333333333333,14,0.006737946999085467,0.075
1991,27382885,36,288513,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1,6,321,0.9,32.0,1.0,48.0,0.92,0.5,RIGHT,RIGHT,1.0,0.8875,0.29545454545454547,0.3333333333333333,18,1.0,0.075
1995,27382885,38,288513,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,353,1.0,0.0,0.0,32.0,0.92,0.5,NOTHING,NOTHING,1.0,0.9,1.0,0.92,16,1.0,0.075
1999,27382885,40,288513,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,385,1.0,0.0,1.0,32.0,0.13949275362318841,0.5,NOTHING,NOTHING,1.0,1.0,0.0,0.92,0,1.0,0.075
2003,27382885,42,288513,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,417,1.0,0.0,1.0,32.0,0.13949275362318841,0.5,NOTHING,NOTHING,1.0,1.0,1.0,0.13949275362318841,0,1.0,0.075
2005,27382885,43,288513,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,449,1.0,0.0,1.0,32.0,0.225,0.5,NOTHING,NOTHING,1.0,1.0,1.0,0.13949275362318841,0,1.0,0.075
2011,27382885,46,288513,Absent,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,9,478,0.98125,5.0,0.0,34.0,0.225,0.484375,RS,RS,0.10687792566038574,1.0,1.0,0.225,0,1.0,0.075
2013,27382885,47,288513,Absent,27,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,21,11,Unicorn_Absent,-1,-1,9,499,0.93125,22.0,0.08,43.0,0.3333333333333333,0.5,RS,RS,0.009182867495108389,0.98125,0.0,0.225,3,0.10687792566038574,0.075
2017,27382885,49,288513,Absent,62,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1,9,520,0.93125,40.0,0.2916666666666667,50.0,0.3333333333333333,0.609375,RS,RS,0.007454186295369829,0.93125,0.08,0.3333333333333333,11,0.009182867495108389,0.075
2019,27382885,50,288513,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,552,1.0,0.0,0.0,28.0,0.16341923318667506,0.4375,NOTHING,NOTHING,1.0,0.93125,0.2916666666666667,0.3333333333333333,11,0.007454186295369829,0.075
2027,27382885,54,288513,Absent,25,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,21,11,Unicorn_Absent,-1,-1,9,573,0.93125,20.0,0.0,41.0,0.16341923318667506,0.46875,RS,RS,0.01142289099346694,1.0,0.0,0.16341923318667506,0,1.0,0.075
2029,27382885,55,288513,Absent,51,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,26,6,Unicorn_Absent,-1,-1,9,599,0.9625,37.0,0.32558139534883723,42.0,0.22027290448343081,0.5625,RS,RS,0.006737946999085467,0.93125,0.0,0.16341923318667506,11,0.01142289099346694,0.075
2039,27382885,60,288513,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,613,0.8875,36.0,0.35185185185185186,50.0,0.22027290448343081,0.5,IN,IN,1.0,0.9625,0.32558139534883723,0.22027290448343081,6,0.006737946999085467,0.075
1086,28075073,4,28073,Absent,43,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,3,29,Unicorn_Absent,-1,-1,0,3,0.81875,29.0,1.0,64.0,0.0,0.546875,RS,RS,0.004584084770106734,,,,,,0.075
