index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
3667,14709676,34,967640,Absent,50,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,8,24,Unicorn_Absent,-1,-1.0,9,466,0.85,39.0,0.14,56.0,0.0,0.5,RS,RS,0.006737946999085467,0.9375,0.25,0.0,10,0.01436959609043909,0
3671,14709676,36,967640,Absent,14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,9,493,0.96875,10.0,0.11363636363636363,40.0,0.14285714285714285,0.546875,RS,RS,0.04232921962320499,0.85,0.14,0.0,24,0.006737946999085467,0
3675,14709676,38,967640,Absent,54,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,27,5,Unicorn_Absent,-1,-1.0,9,520,0.96875,37.0,0.175,39.0,0.14285714285714285,0.53125,RS,RS,0.005537830714382473,0.96875,0.11363636363636363,0.14285714285714285,5,0.04232921962320499,0
3679,14709676,40,967640,Absent,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,26,6,Unicorn_Absent,-1,-1.0,9,546,0.9625,18.0,0.2222222222222222,43.0,0.08578431372549022,0.578125,RS,RS,0.01436959609043909,0.96875,0.175,0.14285714285714285,5,0.005537830714382473,0
3683,14709676,42,967640,Absent,57,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,31,1,Unicorn_Absent,-1,-1.0,9,577,0.99375,41.0,0.2553191489361702,41.0,0.08578431372549022,0.625,RS,RS,0.008264124158046258,0.9625,0.2222222222222222,0.08578431372549022,6,0.01436959609043909,0
3685,14709676,43,967640,Absent,57,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,31,1,Unicorn_Absent,-1,-1.0,9,608,0.99375,41.0,1.0,41.0,0.0923715620134925,0.625,RS,RS,0.008264124158046258,0.99375,0.2553191489361702,0.08578431372549022,1,0.008264124158046258,0
3689,14709676,45,967640,Absent,57,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,31,1,Unicorn_Absent,-1,-1.0,9,639,0.99375,41.0,1.0,41.0,0.0923715620134925,0.625,RS,RS,0.008264124158046258,0.99375,1.0,0.0923715620134925,1,0.008264124158046258,0
3693,14709676,47,967640,Absent,57,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,31,1,Unicorn_Absent,-1,-1.0,9,670,0.99375,41.0,1.0,41.0,0.24046511627906977,0.625,RS,RS,0.008264124158046258,0.99375,1.0,0.0923715620134925,1,0.008264124158046258,0
3697,14709676,49,967640,Absent,17,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,21,11,Unicorn_Absent,-1,-1.0,9,691,0.93125,15.0,0.14285714285714285,38.0,0.24046511627906977,0.421875,RS,RS,0.020796234419099814,0.99375,1.0,0.24046511627906977,1,0.008264124158046258,0
3699,14709676,50,967640,Absent,36,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,22,10,Unicorn_Absent,-1,-1.0,9,713,0.9375,26.0,0.20588235294117646,44.0,0.28076923076923077,0.53125,RS,RS,0.0061027272741740034,0.93125,0.14285714285714285,0.24046511627906977,11,0.020796234419099814,0
3701,14709676,51,967640,Absent,45,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,15,17,Unicorn_Absent,-1,-1.0,9,728,0.89375,31.0,0.3902439024390244,47.0,0.28076923076923077,0.46875,RS,RS,0.006737946999085467,0.9375,0.20588235294117646,0.28076923076923077,10,0.0061027272741740034,0
3703,14709676,52,967640,Absent,62,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,21,11,Unicorn_Absent,-1,-1.0,9,749,0.93125,38.0,0.38,43.0,0.18764172335600904,0.5,RS,RS,0.0061027272741740034,0.89375,0.3902439024390244,0.28076923076923077,17,0.006737946999085467,0
3715,14709676,58,967640,Absent,58,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,9,760,0.86875,39.0,0.4807692307692308,50.0,0.18764172335600904,0.453125,RS,RS,0.006737946999085467,0.93125,0.38,0.18764172335600904,11,0.0061027272741740034,0
3717,14709676,59,967640,Absent,40,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,28,4,Unicorn_Absent,-1,-1.0,9,788,0.975,26.0,0.32653061224489793,31.0,0.09523809523809523,0.421875,RS,RS,0.007454186295369829,0.86875,0.4807692307692308,0.18764172335600904,21,0.006737946999085467,0
3719,14709676,60,967640,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,820,1.0,2.0,0.0,16.0,0.09523809523809523,0.25,RS,RS,0.2431167344342142,0.975,0.32653061224489793,0.09523809523809523,4,0.007454186295369829,0
4080,17237141,1,172376,Absent,59,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,32,0,Unicorn_Absent,-1,-1.0,0,32,1.0,39.0,1.0,40.0,0.0,0.625,RS,RS,0.006737946999085467,,,,,,0
4082,17237141,2,172376,Absent,59,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,32,0,Unicorn_Absent,-1,-1.0,0,64,1.0,39.0,1.0,40.0,0.0,0.625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.006737946999085467,0
4084,17237141,3,172376,Absent,59,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,32,0,Unicorn_Absent,-1,-1.0,0,96,1.0,39.0,1.0,40.0,0.0,0.625,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.006737946999085467,0
