index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
189,18708616,10,861629,Absent,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,189,0,24.491166077738516,24.491166077738516,155,0.95625,12.0,0.17647058823529413,46.0,0.016470588235294126,0.609375,0.03130111324493289,0.9375,0.21428571428571427,0.014285714285714263,10,0.0061027272741740034
190,18708616,11,861629,Absent,33,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,13,19,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,190,0,24.491166077738516,24.491166077738516,168,0.88125,28.0,0.25,47.0,0.21296296296296297,0.4375,0.005034190088132767,0.95625,0.17647058823529413,0.016470588235294126,7,0.03130111324493289
191,18708616,12,861629,Absent,24,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27,5,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,UP,191,0,24.491166077738516,24.491166077738516,195,0.96875,20.0,0.23076923076923078,32.0,0.019230769230769218,0.421875,0.01142289099346694,0.88125,0.25,0.21296296296296297,19,0.005034190088132767
192,18708616,13,861629,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,Unicorn_Absent,-1,-1,4,Unicorn_Present,UP,UP,RS,192,0,24.491166077738516,24.0,214,0.91875,32.0,0.2682926829268293,48.0,0.045993031358884995,0.546875,1.0,0.96875,0.23076923076923078,0.019230769230769218,5,0.01142289099346694
194,18708616,15,861629,Absent,32,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,22,10,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,194,0,24.491166077738516,32.0,236,0.9375,25.0,0.32558139534883723,46.0,0.02123356926188069,0.5625,0.006737946999085467,0.91875,0.2682926829268293,0.045993031358884995,13,1.0
196,18708616,17,861629,Absent,36,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,22,10,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,196,0,24.491166077738516,-66.0,258,0.9375,26.0,0.18604651162790697,48.0,0.09966777408637872,0.59375,0.0061027272741740034,0.9375,0.32558139534883723,0.02123356926188069,10,0.006737946999085467
198,18708616,19,861629,Absent,21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,23,9,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,198,0,24.491166077738516,30.666666666666668,281,0.94375,18.0,0.07317073170731707,45.0,0.18608852755194216,0.5625,0.01436959609043909,0.9375,0.18604651162790697,0.09966777408637872,10,0.0061027272741740034
202,18708616,23,861629,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,202,0,24.491166077738516,24.491166077738516,313,1.0,1.0,0.0,14.0,0.06521739130434782,0.21875,0.36787944117144233,0.94375,0.07317073170731707,0.18608852755194216,9,0.01436959609043909
203,18708616,24,861629,Absent,48,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,9,23,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,203,0,24.491166077738516,24.491166077738516,322,0.85625,35.0,0.0,48.0,0.225,0.390625,0.008264124158046258,1.0,0.0,0.06521739130434782,0,0.36787944117144233
204,18708616,25,861629,Absent,60,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,18,14,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,204,0,24.491166077738516,31.0,340,0.9125,39.0,0.37037037037037035,46.0,0.15760441292356184,0.5,0.006737946999085467,0.85625,0.0,0.225,23,0.008264124158046258
