index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Zeta
3981,73863971,11,397127,Absent,34,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,20,12,Unicorn_Absent,-1,-1.0,9,130,0.925,27.0,0.35714285714285715,43.0,0.0,0.484375,RS,RS,0.006737946999085467,0.9625,0.20588235294117646,0.20544090056285177,6,0.005034190088132767,0
3983,73863971,12,397127,Absent,62,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,4,28,Unicorn_Absent,-1,-1.0,9,134,0.825,43.0,0.34615384615384615,59.0,0.0,0.484375,RS,RS,0.010228516799093708,0.925,0.35714285714285715,0.0,12,0.006737946999085467,0
3985,73863971,13,397127,Absent,61,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,13,19,Unicorn_Absent,-1,-1.0,9,147,0.88125,38.0,0.4727272727272727,51.0,0.12745098039215685,0.5,RS,RS,0.0061027272741740034,0.825,0.34615384615384615,0.0,28,0.010228516799093708,0
3987,73863971,14,397127,Absent,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,177,0.9875,4.0,0.07692307692307693,43.0,0.12745098039215685,0.640625,RS,RS,0.1353352832366127,0.88125,0.4727272727272727,0.12745098039215685,19,0.0061027272741740034,0
3989,73863971,15,397127,Absent,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,207,0.9875,4.0,1.0,43.0,0.16964285714285715,0.640625,RS,RS,0.1353352832366127,0.9875,0.07692307692307693,0.12745098039215685,2,0.1353352832366127,0
3991,73863971,16,397127,Absent,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,237,0.9875,4.0,1.0,43.0,0.16964285714285715,0.640625,RS,RS,0.1353352832366127,0.9875,1.0,0.16964285714285715,2,0.1353352832366127,0
3995,73863971,18,397127,Absent,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,267,0.9875,4.0,1.0,43.0,0.01282051282051283,0.640625,RS,RS,0.1353352832366127,0.9875,1.0,0.16964285714285715,2,0.1353352832366127,0
3999,73863971,20,397127,Absent,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,297,0.9875,4.0,1.0,43.0,0.01282051282051283,0.640625,RS,RS,0.1353352832366127,0.9875,1.0,0.01282051282051283,2,0.1353352832366127,0
4005,73863971,23,397127,Absent,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,329,1.0,4.0,0.0,10.0,0.011188811188811154,0.15625,RS,RS,0.1353352832366127,0.9875,1.0,0.01282051282051283,2,0.1353352832366127,0
4007,73863971,24,397127,Absent,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,361,1.0,4.0,1.0,10.0,0.011188811188811154,0.15625,RS,RS,0.1353352832366127,1.0,0.0,0.011188811188811154,0,0.1353352832366127,0
