index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Alpha
841,55744796,1,479638,Absent,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,30,2,Unicorn_Absent,-1,-1,9,30,0.9875,13.0,1.0,30.0,0.0,0.4375,RS,RS,0.02717246117223556,,,,,,150
845,55744796,3,479638,Absent,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,30,2,Unicorn_Absent,-1,-1,9,60,0.9875,13.0,1.0,30.0,0.0,0.4375,RS,RS,0.02717246117223556,0.9875,1.0,0.0,2,0.02717246117223556,150
851,55744796,6,479638,Absent,55,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,13,19,Unicorn_Absent,-1,-1,9,73,0.88125,38.0,0.24390243902439024,55.0,0.0,0.5625,RS,RS,0.0061027272741740034,0.9875,1.0,0.0,2,0.02717246117223556,150
853,55744796,7,479638,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,27,5,Unicorn_Absent,-1,-1,6,100,0.96875,32.0,0.4,41.0,0.0,0.5625,RIGHT,RIGHT,1.0,0.88125,0.24390243902439024,0.0,19,0.0061027272741740034,150
861,55744796,11,479638,Absent,51,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,12,20,Unicorn_Absent,-1,-1,9,112,0.875,35.0,0.3137254901960784,53.0,0.0060975609756097615,0.515625,RS,RS,0.004584084770106734,0.96875,0.4,0.0,5,1.0,150
865,55744796,13,479638,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,144,1.0,32.0,0.34,64.0,0.0060975609756097615,1.0,UP,UP,1.0,0.875,0.3137254901960784,0.0060975609756097615,20,0.004584084770106734,150
867,55744796,14,479638,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,176,1.0,32.0,1.0,64.0,0.20952380952380956,1.0,UP,UP,1.0,1.0,0.34,0.0060975609756097615,0,1.0,150
869,55744796,15,479638,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,208,1.0,32.0,1.0,64.0,0.20952380952380956,1.0,UP,UP,1.0,1.0,1.0,0.20952380952380956,0,1.0,150
871,55744796,16,479638,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,240,1.0,32.0,1.0,64.0,0.1319073083778966,1.0,UP,UP,1.0,1.0,1.0,0.20952380952380956,0,1.0,150
873,55744796,17,479638,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,4,272,1.0,32.0,1.0,64.0,0.1319073083778966,1.0,UP,UP,1.0,1.0,1.0,0.1319073083778966,0,1.0,150
