index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
1157,74927198,39,719822,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,6,617,0.8875,32.0,0.0,50.0,0.0,0.5,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,1.0,0.05
1159,74927198,40,719822,Absent,12,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,649,1.0,10.0,0.16666666666666666,15.0,0.7027027027027026,0.234375,RS,RS,0.04232921962320499,0.8875,0.0,0.0,18,1.0,0.05
1161,74927198,41,719822,Absent,12,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,681,1.0,10.0,1.0,15.0,0.7027027027027026,0.234375,RS,RS,0.04232921962320499,1.0,0.16666666666666666,0.7027027027027026,0,0.04232921962320499,0.05
1165,74927198,43,719822,Absent,12,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,713,1.0,10.0,1.0,15.0,0.0,0.234375,RS,RS,0.04232921962320499,1.0,1.0,0.7027027027027026,0,0.04232921962320499,0.05
1169,74927198,45,719822,Absent,62,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,9,732,0.91875,37.0,0.06818181818181818,50.0,0.0,0.578125,RS,RS,0.006737946999085467,1.0,1.0,0.0,0,0.04232921962320499,0.05
1171,74927198,46,719822,Absent,36,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,18,14,Unicorn_Absent,-1,-1.0,9,750,0.9125,28.0,0.32653061224489793,39.0,0.0,0.390625,RS,RS,0.005034190088132767,0.91875,0.06818181818181818,0.0,13,0.006737946999085467,0.05
1175,74927198,48,719822,Absent,25,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,24,8,Unicorn_Absent,-1,-1.0,9,774,0.95,20.0,0.23076923076923078,38.0,0.0,0.46875,RS,RS,0.01142289099346694,0.9125,0.32653061224489793,0.0,14,0.005034190088132767,0.05
1177,74927198,49,719822,Absent,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,9,800,0.9625,8.0,0.037037037037037035,43.0,0.0,0.578125,RS,RS,0.059105746561956225,0.95,0.23076923076923078,0.0,8,0.01142289099346694,0.05
1179,74927198,50,719822,Absent,12,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,9,827,0.96875,11.0,0.05555555555555555,42.0,0.0,0.578125,RS,RS,0.03627506129959581,0.9625,0.037037037037037035,0.0,6,0.059105746561956225,0.05
1183,74927198,52,719822,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1.0,5,827,0.8,32.0,0.10256410256410256,32.0,0.0,0.0,LEFT,LEFT,1.0,0.96875,0.05555555555555555,0.0,5,0.03627506129959581,0.05
