level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
23381,0,9742313430,42,974231,Absent,44,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,17,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,OUT,23381,0,26.490084033613446,29.0,183,0.90625,32,1.0,49.0,1.0,0.53125,0.005034190088132767,0.79375,0.33962264150943394,0.33962264150943394,0.0,0.005034190088132767
23383,0,9742313430,44,974231,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,29,3,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,OUT,OUT,OUT,23383,0,26.490084033613446,12.5,212,0.98125,28,0.25,37.0,0.09210526315789475,0.53125,1.0,0.90625,1.0,1.0,15.0,0.005034190088132767
23388,0,9742313430,49,974231,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,OUT,OUT,UP,23388,0,26.490084033613446,-64.0,233,0.93125,28,1.0,39.0,0.7857142857142857,0.4375,1.0,0.98125,0.25,0.09210526315789475,3.0,1.0
23390,0,9742313430,51,974231,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,UP,UP,RS,23390,0,26.490084033613446,26.490084033613446,257,0.95,32,0.30434782608695654,43.0,0.2254004576659039,0.546875,1.0,0.93125,1.0,0.7857142857142857,11.0,1.0
23391,0,9742313430,52,974231,Absent,21,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23391,0,26.490084033613446,-83.0,284,0.96875,17,0.2564102564102564,31.0,0.7435897435897436,0.40625,0.016194143319162562,0.95,0.30434782608695654,0.2254004576659039,8.0,1.0
23393,0,9742313430,54,974231,Absent,47,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,17,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23393,0,26.490084033613446,-38.0,301,0.90625,31,0.23076923076923078,41.0,0.07287449392712553,0.40625,0.004584084770106734,0.96875,0.2564102564102564,0.7435897435897436,5.0,0.016194143319162562
23397,0,9742313430,58,974231,Absent,22,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,ALL,23397,0,26.490084033613446,-85.0,323,0.9375,17,0.23076923076923078,45.0,0.029230769230769227,0.546875,0.016194143319162562,0.90625,0.23076923076923078,0.07287449392712553,15.0,0.004584084770106734
23399,0,9742313430,60,974231,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-32,64,Unicorn_Absent,-1,-1.0,1,,ALL,ALL,,23399,0,26.490084033613446,,291,0.6,64,0.265625,64.0,0.328125,0.0,1.0,0.9375,0.23076923076923078,0.029230769230769227,10.0,0.016194143319162562
23403,0,9783061818,4,97830,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,IN,IN,RS,23403,0,26.490084033613446,23.5,25,0.95625,36,,39.0,,0.5,1.0,,,,,
23406,0,9783061818,7,97830,Absent,14,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23406,0,26.490084033613446,31.0,56,0.99375,11,0.09302325581395349,24.0,0.10697674418604652,0.359375,0.03627506129959581,0.95625,,,7.0,1.0
