index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
4224.0,7141314769,25,147695,Absent,33.0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,22.0,18,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,522.0,1.0,15.0,RS,5264,0,22.0,22.0,34,0.4444444444444444,54,0.14814814814814814,0.5625,17.0,0.90625,0.3617021276595745,0.09247135842880527,RS,RS,RS
4225.0,7141314769,26,147695,Absent,34.0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,18.0,14,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,540.0,0.9125,10.0,RS,5266,0,18.0,-3.0,28,0.3191489361702128,48,0.09261576971214014,0.53125,22.0,1.0,0.4444444444444444,0.14814814814814814,RS,RS,RS
4226.0,7141314769,27,147695,Absent,41.0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,-3.0,35,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,537.0,0.78125,14.0,RS,5267,0,-3.0,-23.0,35,0.21153846153846154,64,0.31971153846153844,0.453125,18.0,0.9125,0.3191489361702128,0.09261576971214014,RS,RS,ALL
4228.0,7141314769,28,147695,Absent,22.0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,-23.0,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,478.0,1.0,22.0,RS,5268,0,-23.0,-23.0,36,0.4489795918367347,56,0.1760204081632653,0.5625,-3.0,0.78125,0.21153846153846154,0.31971153846153844,RS,ALL,ALL
4229.0,7141314769,30,147695,Absent,64.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,506.0,0.9,7.0,ALL,5271,0,16.0,0.0,64,0.5625,64,0.34510869565217395,0.75,-23.0,1.0,0.4489795918367347,0.1760204081632653,RS,ALL,RS
4230.0,7141314769,31,147695,Absent,64.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,506.0,0.8,16.0,ALL,5272,0,0.0,28.0,64,1.0,64,0.7692307692307692,0.5,16.0,0.9,0.5625,0.34510869565217395,ALL,RS,RS
4232.0,7141314769,32,147695,Absent,13.0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,28.0,17,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,550.0,1.0,16.0,RS,5273,0,28.0,28.0,32,0.5,48,0.14583333333333331,0.484375,0.0,0.8,1.0,0.7692307692307692,ALL,RS,RS
4233.0,7141314769,34,147695,Absent,31.0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,24.0,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,586.0,0.95,8.0,RS,5276,0,24.0,26.0,26,0.3181818181818182,38,0.0254988913525499,0.46875,28.0,1.0,0.5,0.14583333333333331,RS,RS,RS
4234.0,7141314769,35,147695,Absent,26.0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,26.0,6,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,612.0,0.9625,8.0,RS,5277,0,26.0,27.0,21,0.175,33,0.012500000000000011,0.421875,24.0,0.95,0.3181818181818182,0.0254988913525499,RS,RS,RS
4235.0,7141314769,36,147695,Absent,34.0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,27.0,5,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,639.0,0.96875,6.0,RS,5278,0,27.0,27.0,24,0.15384615384615385,39,0.15649867374005305,0.53125,26.0,0.9625,0.175,0.012500000000000011,RS,RS,RS
