level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
2119,4275,93382748,38,274877,Absent,33,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1,9,502,0.925,26.0,1.0,46.0,0.0,0.53125,,0.22313016014842982,0.925,0.14285714285714285,0.607843137254902,12,0.22313016014842982,0.05,0
2121,4277,93382748,39,274877,Absent,33,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1,9,522,0.925,26.0,1.0,46.0,0.0,0.53125,,0.22313016014842982,0.925,1.0,0.0,12,0.22313016014842982,0.05,0
2123,4279,93382748,40,274877,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,14,18,Unicorn_Absent,-1,-1,5,536,0.8875,32.0,0.3181818181818182,50.0,0.34558823529411764,0.5,LEFT,0.18818508442027443,0.925,1.0,0.0,12,0.22313016014842982,0.05,0
2125,4281,93382748,41,274877,Absent,35,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,26,6,Unicorn_Absent,-1,-1,9,562,0.9625,28.0,0.36363636363636365,40.0,0.34558823529411764,0.53125,,0.2103787656745015,0.8875,0.3181818181818182,0.34558823529411764,18,0.18818508442027443,0.05,0
2127,4285,93382748,43,274877,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,26,6,Unicorn_Absent,-1,-1,8,619,0.9625,28.0,0.19148936170212766,38.0,0.6666666666666667,0.5,OUT,0.2103787656745015,0.9625,0.36363636363636365,0.34558823529411764,6,0.2103787656745015,0.05,0
2129,4287,93382748,44,274877,Absent,62,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1,9,638,0.91875,43.0,0.39215686274509803,46.0,0.6666666666666667,0.515625,,0.13365930993517047,0.9625,0.19148936170212766,0.6666666666666667,6,0.2103787656745015,0.05,0
2131,4289,93382748,45,274877,Absent,62,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1,9,657,0.91875,43.0,1.0,46.0,0.0625,0.515625,,0.13365930993517047,0.91875,0.39215686274509803,0.6666666666666667,13,0.13365930993517047,0.05,0
2133,4293,93382748,47,274877,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,9,Unicorn_Absent,-1,-1,3,710,0.94375,32.0,0.47058823529411764,43.0,0.0625,0.53125,DOWN,0.17389813739634405,0.91875,1.0,0.0625,13,0.13365930993517047,0.05,0
2135,4297,93382748,49,274877,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,23,9,Unicorn_Absent,-1,-1,6,761,0.94375,32.0,0.3333333333333333,43.0,0.46875,0.53125,RIGHT,0.17389813739634405,0.94375,0.47058823529411764,0.0625,9,0.17389813739634405,0.05,0
2137,4307,93382748,54,274877,Absent,27,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,9,23,Unicorn_Absent,-1,-1,9,783,0.85625,23.0,0.25,64.0,0.46875,0.640625,,0.24484627166971443,0.94375,0.3333333333333333,0.46875,9,0.17389813739634405,0.05,0
2139,4309,93382748,55,274877,Absent,27,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,18,14,Unicorn_Absent,-1,-1,9,801,0.9125,23.0,1.0,43.0,0.6923076923076923,0.453125,,0.24484627166971443,0.85625,0.25,0.46875,23,0.24484627166971443,0.05,0
2141,4311,93382748,56,274877,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,17,15,Unicorn_Absent,-1,-1,8,818,0.90625,28.0,0.3076923076923077,47.0,0.6923076923076923,0.5,OUT,0.2103787656745015,0.9125,1.0,0.6923076923076923,14,0.24484627166971443,0.05,0
1039,2163,94092250,2,225074,Absent,25,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,17,15,Unicorn_Absent,-1,-1,9,-52,0.90625,24.0,1.0,41.0,0.0,0.40625,,0.22313016014842982,,,,,,0.05,0
1041,2165,94092250,3,225074,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1,5,-52,0.8,32.0,0.36585365853658536,32.0,0.0,0.0,LEFT,0.18818508442027443,0.90625,1.0,0.0,15,0.22313016014842982,0.05,0
1043,2167,94092250,4,225074,Absent,43,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,16,16,Unicorn_Absent,-1,-1,9,-36,0.9,33.0,0.41304347826086957,45.0,0.6341463414634146,0.453125,,0.16951329224194475,0.8,0.36585365853658536,0.0,32,0.18818508442027443,0.05,0
1045,2169,94092250,5,225074,Absent,43,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,16,16,Unicorn_Absent,-1,-1,9,-20,0.9,33.0,1.0,45.0,0.6341463414634146,0.453125,,0.16951329224194475,0.9,0.41304347826086957,0.6341463414634146,16,0.16951329224194475,0.05,0
1047,2173,94092250,7,225074,Absent,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,7,Unicorn_Absent,-1,-1,9,34,0.95625,15.0,0.14285714285714285,36.0,0.10869565217391303,0.453125,,0.2902735027026453,0.9,1.0,0.6341463414634146,16,0.16951329224194475,0.05,0
1049,2175,94092250,8,225074,Absent,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,7,Unicorn_Absent,-1,-1,9,59,0.95625,15.0,1.0,36.0,0.10869565217391303,0.453125,,0.2902735027026453,0.95625,0.14285714285714285,0.10869565217391303,7,0.2902735027026453,0.05,0
1051,2177,94092250,9,225074,Absent,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,7,Unicorn_Absent,-1,-1,9,84,0.95625,15.0,1.0,36.0,0.0,0.453125,,0.2902735027026453,0.95625,1.0,0.10869565217391303,7,0.2902735027026453,0.05,0
1053,2179,94092250,10,225074,Absent,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,7,Unicorn_Absent,-1,-1,9,109,0.95625,15.0,1.0,36.0,0.0,0.453125,,0.2902735027026453,0.95625,1.0,0.0,7,0.2902735027026453,0.05,0
1055,2185,94092250,13,225074,Absent,26,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,27,5,Unicorn_Absent,-1,-1,9,99,0.96875,20.0,0.16666666666666666,31.0,0.8571428571428572,0.40625,,0.24484627166971443,0.95625,1.0,0.0,7,0.2902735027026453,0.05,0
1057,2193,94092250,17,225074,Absent,48,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,17,15,Unicorn_Absent,-1,-1,9,97,0.90625,35.0,0.1956521739130435,51.0,0.8571428571428572,0.5625,,0.16529888822158656,0.96875,0.16666666666666666,0.8571428571428572,5,0.24484627166971443,0.05,0
1059,2197,94092250,19,225074,Absent,41,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,14,18,Unicorn_Absent,-1,-1,9,141,0.8875,32.0,0.3137254901960784,50.0,0.0,0.5,,0.17846392590418705,0.90625,0.1956521739130435,0.8571428571428572,15,0.16529888822158656,0.05,0
1061,2203,94092250,22,225074,Absent,41,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,16,16,Unicorn_Absent,-1,-1,9,107,0.9,32.0,1.0,48.0,0.0,0.5,,0.17846392590418705,0.8875,0.3137254901960784,0.0,18,0.17846392590418705,0.05,0
1063,2211,94092250,26,225074,Absent,38,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,28,4,Unicorn_Absent,-1,-1,9,123,0.975,28.0,0.2,37.0,0.0,0.515625,,0.19336654922791888,0.9,1.0,0.0,16,0.17846392590418705,0.05,0
