index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,RegionGo,RegionGo2
4359.0,6612215646,40,156464,Absent,32.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,355.0,0.9,2.0,RIGHT,5401,0,16.0,15.0,32,0.28,48,0.03510204081632656,0.5,29.0,1.0,0.3333333333333333,0.015503875968992276,LEFT,RS
4360.0,6612215646,41,156464,Absent,32.0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,15.0,17,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,370.0,0.89375,16.0,LEFT,5402,0,15.0,15.0,32,0.0,46,0.3404255319148936,0.453125,16.0,0.9,0.28,0.03510204081632656,RS,RS
4361.0,6612215646,42,156464,Absent,39.0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,15.0,17,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,385.0,0.89375,17.0,RS,5403,0,15.0,-7.0,32,0.2549019607843137,47,0.11466325660699062,0.46875,15.0,0.89375,0.0,0.3404255319148936,RS,DOWN
4363.0,6612215646,43,156464,Absent,24.0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,-7.0,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,406.0,1.0,8.0,RS,5404,0,-7.0,-7.0,31,0.4318181818181818,49,0.13181818181818183,0.53125,15.0,0.89375,0.2549019607843137,0.11466325660699062,DOWN,RS
4365.0,6612215646,46,156464,Absent,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,362.0,0.8,17.0,DOWN,5408,0,0.0,26.0,32,0.3125,32,0.0625,0.0,-7.0,1.0,0.4318181818181818,0.13181818181818183,RS,RS
4367.0,6612215646,47,156464,Absent,23.0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,26.0,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,400.0,1.0,21.0,RS,5409,0,26.0,26.0,34,0.32,50,0.015652173913043466,0.59375,0.0,0.8,0.3125,0.0625,RS,RS
4368.0,6612215646,49,156464,Absent,50.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,12.0,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,426.0,0.875,3.0,RS,5412,0,12.0,-25.0,30,0.23076923076923078,48,0.08923076923076922,0.4375,26.0,1.0,0.32,0.015652173913043466,RS,RIGHT
4370.0,6612215646,50,156464,Absent,27.0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,-25.0,16,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,361.0,1.0,18.0,RS,5413,0,-25.0,-25.0,33,0.3404255319148936,55,0.041392649903288226,0.609375,12.0,0.875,0.23076923076923078,0.08923076923076922,RIGHT,RS
4371.0,6612215646,52,156464,Absent,32.0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,391.0,0.9,3.0,RIGHT,5416,0,16.0,-23.0,32,0.4444444444444444,48,0.015873015873015872,0.5,-25.0,1.0,0.3404255319148936,0.041392649903288226,RS,UP
4373.0,6612215646,53,156464,Absent,19.0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,-23.0,18,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,384.0,1.0,8.0,RS,5417,0,-23.0,-23.0,33,0.41304347826086957,51,0.025288376220053255,0.515625,16.0,0.9,0.4444444444444444,0.015873015873015872,UP,RS
4374.0,6612215646,55,156464,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,12,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,364.0,0.925,15.0,UP,5420,0,20.0,18.0,32,0.3,49,0.025490196078431338,0.578125,-23.0,1.0,0.41304347826086957,0.025288376220053255,RS,RS
4375.0,6612215646,56,156464,Absent,50.0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,18.0,14,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,382.0,0.9125,12.0,RS,5421,0,18.0,15.0,35,0.45652173913043476,53,0.0701581027667984,0.609375,20.0,0.925,0.3,0.025490196078431338,RS,RIGHT
