index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
5292,15964364,7,159625,Absent,38,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,194,0.91875,30.0,0.2857142857142857,55.0,0.0,0.65625,RS,0.95625,1.0,0.0,7,RS,0.5,0
5296,15964364,9,159625,Absent,38,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,0,136,0.91875,30.0,1.0,55.0,0.04181184668989546,0.65625,RS,0.91875,0.2857142857142857,0.0,13,RS,0.5,0
5302,15964364,12,159625,Absent,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,134,0.99375,5.0,0.09375,24.0,0.04181184668989546,0.359375,RS,0.91875,1.0,0.04181184668989546,13,RS,0.5,0
5306,15964364,14,159625,Absent,15,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,24,8,Unicorn_Absent,-1,-1.0,0,86,0.95,14.0,0.0,47.0,0.0,0.609375,RS,0.99375,0.09375,0.04181184668989546,1,RS,0.5,0
5308,15964364,15,159625,Absent,15,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,24,8,Unicorn_Absent,-1,-1.0,0,110,0.95,14.0,1.0,47.0,0.0,0.609375,RS,0.95,0.0,0.0,8,RS,0.5,0
5320,15964364,21,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,80,0.96875,29.0,0.13157894736842105,36.0,0.19513888888888886,0.484375,RS,0.95,1.0,0.0,8,RS,0.5,0
5322,15964364,22,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,107,0.96875,29.0,1.0,36.0,0.19513888888888886,0.484375,RS,0.96875,0.13157894736842105,0.19513888888888886,5,RS,0.5,0
5324,15964364,23,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,134,0.96875,29.0,1.0,36.0,0.19607843137254902,0.484375,RS,0.96875,1.0,0.19513888888888886,5,RS,0.5,0
5326,15964364,24,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,161,0.96875,29.0,1.0,36.0,0.19607843137254902,0.484375,RS,0.96875,1.0,0.19607843137254902,5,RS,0.5,0
5330,15964364,26,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,119,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.19607843137254902,5,RS,0.5,0
