level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
418,830,85989584,56,859835,Absent,48,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,14,18,Unicorn_Absent,-1,-1.0,0,-393,0.8875,33.0,1.0,44.0,0.19865319865319866,0.40625,RS,0.16951329224194475,0.8875,1.0,0.19865319865319866,18,0.16951329224194475,0,150
420,834,85989584,58,859835,Absent,48,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,14,18,Unicorn_Absent,-1,-1.0,0,-461,0.8875,33.0,1.0,44.0,0.0,0.40625,RS,0.16951329224194475,0.8875,1.0,0.19865319865319866,18,0.16951329224194475,0,150
422,836,85989584,59,859835,Absent,48,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,14,18,Unicorn_Absent,-1,-1.0,0,-447,0.8875,33.0,1.0,44.0,0.0,0.40625,RS,0.16951329224194475,0.8875,1.0,0.0,18,0.16951329224194475,0,150
377,727,85989584,4,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-90,0.95625,14.0,1.0,34.0,0.02599179206566346,0.421875,,0.30119421191220214,,,,,,0,150
379,729,85989584,5,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-65,0.95625,14.0,1.0,34.0,0.02599179206566346,0.421875,,0.30119421191220214,0.95625,1.0,0.02599179206566346,7,0.30119421191220214,0,150
381,731,85989584,6,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-40,0.95625,14.0,1.0,34.0,0.12362637362637365,0.421875,,0.30119421191220214,0.95625,1.0,0.02599179206566346,7,0.30119421191220214,0,150
383,733,85989584,7,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-15,0.95625,14.0,1.0,34.0,0.12362637362637365,0.421875,,0.30119421191220214,0.95625,1.0,0.12362637362637365,7,0.30119421191220214,0,150
385,745,85989584,13,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-149,0.95625,14.0,1.0,34.0,0.1891891891891892,0.421875,,0.30119421191220214,0.95625,1.0,0.12362637362637365,7,0.30119421191220214,0,150
387,747,85989584,14,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-124,0.95625,14.0,1.0,34.0,0.1891891891891892,0.421875,,0.30119421191220214,0.95625,1.0,0.1891891891891892,7,0.30119421191220214,0,150
389,749,85989584,15,958464,Absent,16,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,-99,0.95625,14.0,1.0,34.0,0.0,0.421875,,0.30119421191220214,0.95625,1.0,0.1891891891891892,7,0.30119421191220214,0,150
