index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
3688,82429948,45,824292,Absent,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,27,5,Unicorn_Absent,-1,-1.0,0,446,0.96875,17.0,0.18518518518518517,23.0,0.049473684210526336,0.28125,RS,0.95,1.0,0.0,8,RS,0.3,0.1
3690,82429948,46,824292,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,478,1.0,0.0,0.0,11.0,0.049473684210526336,0.171875,NOTHING,0.96875,0.18518518518518517,0.049473684210526336,5,RS,0.3,0.1
3692,82429948,47,824292,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,510,1.0,0.0,1.0,14.0,0.0,0.21875,NOTHING,1.0,0.0,0.049473684210526336,0,NOTHING,0.3,0.1
3700,82429948,51,824292,Absent,15,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,32,0,Unicorn_Absent,-1,-1.0,0,337,1.0,14.0,0.0,16.0,0.0,0.25,RS,1.0,1.0,0.0,0,NOTHING,0.3,0.1
3702,82429948,52,824292,Absent,57,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,15,17,Unicorn_Absent,-1,-1.0,0,352,0.89375,34.0,0.17073170731707318,53.0,0.11122345803842265,0.5625,RS,1.0,0.0,0.0,0,RS,0.3,0.1
3706,82429948,54,824292,Absent,57,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,15,17,Unicorn_Absent,-1,-1.0,0,396,0.89375,34.0,1.0,46.0,0.11122345803842265,0.453125,RS,0.89375,0.17073170731707318,0.11122345803842265,17,RS,0.3,0.1
3708,82429948,55,824292,Absent,57,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,15,17,Unicorn_Absent,-1,-1.0,0,411,0.89375,34.0,1.0,46.0,0.0,0.453125,RS,0.89375,1.0,0.11122345803842265,17,RS,0.3,0.1
3712,82429948,57,824292,Absent,13,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,473,0.9875,13.0,0.175,29.0,0.0,0.421875,RS,0.89375,1.0,0.0,17,RS,0.3,0.1
3714,82429948,58,824292,Absent,47,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,19,13,Unicorn_Absent,-1,-1.0,0,492,0.91875,33.0,0.24324324324324326,45.0,0.0,0.5,RS,0.9875,0.175,0.0,2,RS,0.3,0.1
3716,82429948,59,824292,Absent,47,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,19,13,Unicorn_Absent,-1,-1.0,0,511,0.91875,33.0,1.0,45.0,0.0,0.5,RS,0.91875,0.24324324324324326,0.0,13,RS,0.3,0.1
