level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1
3895,7713,23451973,17,197323,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,414,1.0,2.0,1.0,21.0,0.0,0.328125,RS,0.5488116360940265,1.0,1.0,0.0,0,0.5488116360940265
3897,7717,23451973,19,197323,Absent,52,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,15,17,Unicorn_Absent,-1,-1.0,9,365,0.89375,33.0,0.029411764705882353,48.0,0.0,0.484375,RS,0.18322208643830706,1.0,1.0,0.0,0,0.5488116360940265
3899,7723,23451973,22,197323,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,261,1.0,1.0,0.0,33.0,0.0,0.515625,RS,0.594749338357888,0.89375,0.029411764705882353,0.0,17,0.18322208643830706
3901,7729,23451973,25,197323,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,24,8,Unicorn_Absent,-1,-1.0,6,225,0.95,32.0,0.0,40.0,0.0,0.5,RIGHT,0.17389813739634405,1.0,0.0,0.0,0,0.594749338357888
3903,7731,23451973,26,197323,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,3,246,0.93125,32.0,0.3333333333333333,44.0,0.0,0.515625,DOWN,0.17389813739634405,0.95,0.0,0.0,8,0.17389813739634405
3905,7737,23451973,29,197323,Absent,41,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,18,14,Unicorn_Absent,-1,-1.0,9,220,0.9125,30.0,0.2653061224489796,46.0,0.30434782608695654,0.5,RS,0.18322208643830706,0.93125,0.3333333333333333,0.0,11,0.17389813739634405
3907,7741,23451973,31,197323,Absent,33,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,28,4,Unicorn_Absent,-1,-1.0,9,280,0.975,26.0,0.3333333333333333,37.0,0.30434782608695654,0.515625,RS,0.2103787656745015,0.9125,0.2653061224489796,0.30434782608695654,14,0.18322208643830706
3909,7747,23451973,34,197323,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-5,37,Unicorn_Absent,-1,-1.0,1,328,0.76875,64.0,0.40625,64.0,0.28055555555555556,0.421875,ALL,0.0924417853680727,0.975,0.3333333333333333,0.30434782608695654,4,0.2103787656745015
3911,7753,23451973,37,197323,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-4,36,Unicorn_Absent,-1,-1.0,7,388,0.775,36.0,0.5625,64.0,0.28055555555555556,0.4375,IN,0.15734346296411772,0.76875,0.40625,0.28055555555555556,37,0.0924417853680727
3913,7765,23451973,43,197323,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,470,1.0,32.0,0.36,64.0,0.0,1.0,UP,0.18818508442027443,0.775,0.5625,0.28055555555555556,36,0.15734346296411772
