index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
874,28972937,18,28973,Absent,59,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,9,23,Unicorn_Absent,-1,-1,0,139,0.85625,39.0,1.0,50.0,0.0,0.421875,RS,0.85625,1.0,0.0,23,RS,10,0.8
884,28972937,23,28973,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,279,0.99375,1.0,0.02564102564102564,9.0,0.0,0.125,RS,0.85625,1.0,0.0,23,RS,10,0.8
892,28972937,27,28973,Absent,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,394,1.0,2.0,0.0,12.0,0.0,0.1875,RS,0.99375,0.02564102564102564,0.0,1,RS,10,0.8
894,28972937,28,28973,Absent,29,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1,0,415,0.93125,24.0,0.0,42.0,0.0,0.484375,RS,1.0,0.0,0.0,0,RS,10,0.8
896,28972937,29,28973,Absent,29,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1,0,436,0.93125,24.0,1.0,42.0,0.0,0.484375,RS,0.93125,0.0,0.0,11,RS,10,0.8
898,28972937,30,28973,Absent,29,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1,0,457,0.93125,24.0,1.0,42.0,0.0,0.484375,RS,0.93125,1.0,0.0,11,RS,10,0.8
900,28972937,31,28973,Absent,29,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1,0,478,0.93125,24.0,1.0,42.0,0.0,0.484375,RS,0.93125,1.0,0.0,11,RS,10,0.8
910,28972937,36,28973,Absent,43,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1,0,417,0.925,32.0,0.2727272727272727,42.0,0.0,0.46875,RS,0.93125,1.0,0.0,11,RS,10,0.8
912,28972937,37,28973,Absent,43,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1,0,437,0.925,32.0,1.0,42.0,0.0,0.46875,RS,0.925,0.2727272727272727,0.0,12,RS,10,0.8
916,28972937,39,28973,Absent,39,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,16,16,Unicorn_Absent,-1,-1,0,485,0.9,30.0,0.2653061224489796,55.0,0.0,0.609375,RS,0.925,1.0,0.0,12,RS,10,0.8
920,28972937,41,28973,Absent,63,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,27,5,Unicorn_Absent,-1,-1,0,544,0.96875,39.0,0.3018867924528302,46.0,0.0,0.640625,RS,0.9,0.2653061224489796,0.0,16,RS,10,0.8
922,28972937,42,28973,Absent,63,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,27,5,Unicorn_Absent,-1,-1,0,571,0.96875,39.0,1.0,46.0,0.0,0.640625,RS,0.96875,0.3018867924528302,0.0,5,RS,10,0.8
936,28972937,49,28973,Absent,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25,7,Unicorn_Absent,-1,-1,0,686,0.95625,10.0,0.13953488372093023,33.0,0.10593792172739541,0.40625,RS,0.96875,1.0,0.0,5,RS,10,0.8
940,28972937,51,28973,Absent,19,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,746,0.975,17.0,0.038461538461538464,36.0,0.10593792172739541,0.5,RS,0.95625,0.13953488372093023,0.10593792172739541,7,RS,10,0.8
942,28972937,52,28973,Absent,19,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,774,0.975,17.0,1.0,36.0,0.11764705882352941,0.5,RS,0.975,0.038461538461538464,0.10593792172739541,4,RS,10,0.8
944,28972937,53,28973,Absent,19,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,802,0.975,17.0,1.0,36.0,0.11764705882352941,0.5,RS,0.975,1.0,0.11764705882352941,4,RS,10,0.8
946,28972937,54,28973,Absent,19,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,830,0.975,17.0,1.0,36.0,0.11428571428571428,0.5,RS,0.975,1.0,0.11764705882352941,4,RS,10,0.8
954,28972937,58,28973,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,758,1.0,1.0,0.058823529411764705,6.0,0.11428571428571428,0.09375,RS,0.975,1.0,0.11428571428571428,4,RS,10,0.8
956,28972937,59,28973,Absent,17,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,29,3,Unicorn_Absent,-1,-1,0,787,0.98125,16.0,0.0,27.0,0.0,0.375,RS,1.0,0.058823529411764705,0.11428571428571428,0,RS,10,0.8
958,28972937,60,28973,Absent,37,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,31,1,Unicorn_Absent,-1,-1,0,818,0.99375,26.0,0.16666666666666666,28.0,0.0,0.421875,RS,0.98125,0.0,0.0,3,RS,10,0.8
