index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Category,lagScore,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo
2044,35598819,5,8819,Absent,15,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,RS,32.0,96,1.0,15,0.2222222222222222,15.0,0.7777777777777778,0.234375,1.0,0.024390243902439025,0.975609756097561,0.0,RS
2045,35598819,6,8819,Absent,56,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,32,0,Unicorn_Absent,-1,-1.0,9,RS,32.0,128,1.0,37,0.20930232558139536,37.0,0.7906976744186046,0.578125,1.0,0.2222222222222222,0.7777777777777778,0.0,RS
2047,35598819,8,8819,Absent,18,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-64,0,Unicorn_Absent,-1,-1.0,9,RS,32.0,64,0.4,16,0.20454545454545456,16.0,0.7954545454545454,0.25,1.0,0.20930232558139536,0.7906976744186046,0.0,RIGHT
2050,35598819,11,8819,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,24,8,Unicorn_Absent,-1,-1.0,6,RIGHT,-64.0,88,0.95,32,0.23076923076923078,34.0,0.23076923076923078,0.40625,0.4,0.20454545454545456,0.7954545454545454,0.0,RS
2051,35598819,12,8819,Absent,29,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,-64,0,Unicorn_Absent,-1,-1.0,9,RS,24.0,24,0.4,26,0.28888888888888886,26.0,0.28888888888888886,0.40625,0.95,0.23076923076923078,0.23076923076923078,8.0,NOTHING
2053,35598819,14,8819,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,NOTHING,-64.0,56,1.0,0,0.0,32.0,0.0,0.5,0.4,0.28888888888888886,0.28888888888888886,0.0,RS
2054,35598819,15,8819,Absent,52,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,RS,32.0,72,0.9,38,0.0,54.0,1.0,0.59375,1.0,0.0,0.0,0.0,RS
2055,35598819,16,8819,Absent,46,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,21,11,Unicorn_Absent,-1,-1.0,9,RS,16.0,93,0.93125,32,0.34615384615384615,45.0,0.10170940170940171,0.53125,0.9,0.0,1.0,16.0,NOTHING
2056,35598819,17,8819,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,NOTHING,21.0,125,1.0,0,0.0,64.0,0.375,1.0,0.93125,0.34615384615384615,0.10170940170940171,11.0,NOTHING
2060,35598819,21,8819,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,NOTHING,32.0,157,1.0,0,1.0,64.0,0.0,1.0,1.0,0.0,0.375,0.0,NOTHING
