level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
530,1132,29424037,27,294298,Absent,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,306,1.0,5.0,0.0,14.0,0.46153846153846156,0.21875,RS,0.45215719036181795,0.99375,1.0,0.0,1,0.387250581508453,0.05,150
532,1134,29424037,28,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,338,1.0,0.0,0.0,24.0,0.46153846153846156,0.375,RS,0.6542510918525355,1.0,0.0,0.46153846153846156,0,0.45215719036181795,0.05,150
534,1136,29424037,29,294298,Absent,52,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,15,17,Unicorn_Absent,-1,-1.0,0,353,0.89375,37.0,0.0,47.0,0.0,0.46875,RS,0.15734346296411772,1.0,0.0,0.46153846153846156,0,0.6542510918525355,0.05,150
536,1140,29424037,31,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,389,1.0,0.0,0.0,64.0,0.0,1.0,NOTHING,0.6542510918525355,0.89375,0.0,0.0,17,0.15734346296411772,0.05,150
538,1144,29424037,33,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,453,1.0,0.0,1.0,64.0,0.35185185185185186,1.0,NOTHING,0.6542510918525355,1.0,0.0,0.0,0,0.6542510918525355,0.05,150
540,1150,29424037,36,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,549,1.0,0.0,1.0,64.0,0.35185185185185186,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.35185185185185186,0,0.6542510918525355,0.05,150
542,1152,29424037,37,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,581,1.0,0.0,1.0,64.0,0.029532403609516034,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.35185185185185186,0,0.6542510918525355,0.05,150
544,1154,29424037,38,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,613,1.0,0.0,1.0,64.0,0.029532403609516034,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.029532403609516034,0,0.6542510918525355,0.05,150
546,1156,29424037,39,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,645,1.0,0.0,1.0,64.0,0.10418604651162788,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.029532403609516034,0,0.6542510918525355,0.05,150
548,1160,29424037,41,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,709,1.0,0.0,1.0,64.0,0.10418604651162788,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.10418604651162788,0,0.6542510918525355,0.05,150
550,1164,29424037,43,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,773,1.0,0.0,1.0,64.0,0.10042283298097254,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.10418604651162788,0,0.6542510918525355,0.05,150
552,1168,29424037,45,294298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,837,1.0,0.0,1.0,64.0,0.10042283298097254,1.0,NOTHING,0.6542510918525355,1.0,1.0,0.10042283298097254,0,0.6542510918525355,0.05,150
