index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
887,39892874,24,287473,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29,3,Unicorn_Absent,-1,-1.0,9,218,0.98125,3.0,0.043478260869565216,18.0,0.2566666666666667,0.234375,,0.95,1.0,0.2566666666666667,8,,0.025,0.99
893,39892874,27,287473,Absent,25,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,21,11,Unicorn_Absent,-1,-1.0,9,196,0.93125,22.0,0.041666666666666664,43.0,0.96875,0.5,,0.98125,0.043478260869565216,0.2566666666666667,3,,0.025,0.99
899,39892874,30,287473,Absent,25,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,185,1.0,22.0,1.0,22.0,0.96875,0.34375,,0.93125,0.041666666666666664,0.96875,11,,0.025,0.99
907,39892874,34,287473,Absent,45,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,27,5,Unicorn_Absent,-1,-1.0,9,199,0.96875,33.0,0.1702127659574468,46.0,0.09130060292850989,0.640625,,1.0,1.0,0.96875,0,,0.025,0.99
919,39892874,40,287473,Absent,53,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,17,15,Unicorn_Absent,-1,-1.0,9,49,0.90625,37.0,0.2962962962962963,52.0,0.09130060292850989,0.578125,,0.96875,0.1702127659574468,0.09130060292850989,5,,0.025,0.99
921,39892874,41,287473,Absent,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,9,78,0.98125,5.0,0.07692307692307693,32.0,0.1590733590733591,0.453125,,0.90625,0.2962962962962963,0.09130060292850989,15,,0.025,0.99
927,39892874,44,287473,Absent,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,9,64,0.95,9.0,0.0,31.0,0.1590733590733591,0.359375,,0.98125,0.07692307692307693,0.1590733590733591,3,,0.025,0.99
933,39892874,47,287473,Absent,58,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,28,4,Unicorn_Absent,-1,-1.0,9,155,0.975,34.0,0.13157894736842105,37.0,0.26190476190476186,0.515625,,0.95,0.0,0.1590733590733591,8,,0.025,0.99
935,39892874,48,287473,Absent,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,28,4,Unicorn_Absent,-1,-1.0,9,183,0.975,14.0,0.23076923076923078,34.0,0.26190476190476186,0.46875,,0.975,0.13157894736842105,0.26190476190476186,4,,0.025,0.99
937,39892874,49,287473,Absent,19,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,215,1.0,17.0,0.14814814814814814,23.0,0.75,0.359375,,0.975,0.23076923076923078,0.26190476190476186,4,,0.025,0.99
939,39892874,50,287473,Absent,19,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,247,1.0,17.0,1.0,23.0,0.75,0.359375,,1.0,0.14814814814814814,0.75,0,,0.025,0.99
941,39892874,51,287473,Absent,19,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,32,0,Unicorn_Absent,-1,-1.0,9,279,1.0,17.0,1.0,23.0,0.9565217391304348,0.359375,,1.0,1.0,0.75,0,,0.025,0.99
953,39892874,57,287473,Absent,40,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,9,154,0.8875,30.0,0.175,47.0,0.9565217391304348,0.453125,,1.0,1.0,0.9565217391304348,0,,0.025,0.99
