index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
3352,26554897,57,265569,Absent,55,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,31,1,Unicorn_Absent,-1,-1,0,223,0.99375,37.0,0.18421052631578946,37.0,0.3695652173913043,0.5625,RS,1.0,1.0,0.29411764705882354,0,RS,0.025,70
3354,26554897,58,265569,Absent,30,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,23,9,Unicorn_Absent,-1,-1,0,246,0.94375,26.0,0.3125,38.0,0.3695652173913043,0.453125,RS,0.99375,0.18421052631578946,0.3695652173913043,1,RS,0.025,70
3358,26554897,60,265569,Absent,30,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,23,9,Unicorn_Absent,-1,-1,0,297,0.94375,26.0,1.0,38.0,0.0,0.453125,RS,0.94375,0.3125,0.3695652173913043,9,RS,0.025,70
3241,26554897,1,489700,Absent,9,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1,9,32,1.0,9.0,1.0,22.0,0.0,0.34375,,,,,,,0.025,70
3245,26554897,3,489700,Absent,30,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,25,7,Unicorn_Absent,-1,-1,9,-14,0.95625,24.0,0.1,41.0,0.0,0.53125,,1.0,1.0,0.0,0,,0.025,70
3253,26554897,7,489700,Absent,26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,9,23,Unicorn_Absent,-1,-1,9,-16,0.85625,23.0,0.23684210526315788,64.0,0.0,0.640625,,0.95625,0.1,0.0,7,,0.025,70
3255,26554897,8,489700,Absent,26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,20,12,Unicorn_Absent,-1,-1,9,4,0.925,23.0,1.0,45.0,0.0,0.515625,,0.85625,0.23684210526315788,0.0,23,,0.025,70
3257,26554897,9,489700,Absent,26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,20,12,Unicorn_Absent,-1,-1,9,24,0.925,23.0,1.0,45.0,0.0,0.515625,,0.925,1.0,0.0,12,,0.025,70
3259,26554897,10,489700,Absent,26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,20,12,Unicorn_Absent,-1,-1,9,44,0.925,23.0,1.0,45.0,0.8947368421052632,0.515625,,0.925,1.0,0.0,12,,0.025,70
3261,26554897,11,489700,Absent,26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,20,12,Unicorn_Absent,-1,-1,9,64,0.925,23.0,1.0,45.0,0.8947368421052632,0.515625,,0.925,1.0,0.8947368421052632,12,,0.025,70
