index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
5278,87252418,60,872500,Absent,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,908,0.9625,10.0,1.0,35.0,0.0,0.453125,RS,0.9625,1.0,0.0,6,RS,[0.025],[0.95]
3963,89508867,2,886756,Absent,46,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,15,17,Unicorn_Absent,-1,-1.0,9,-66,0.89375,35.0,1.0,48.0,0.0,0.484375,,,,,,,[0.025],[0.95]
3967,89508867,4,886756,Absent,60,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,14,18,Unicorn_Absent,-1,-1.0,9,-37,0.8875,39.0,0.39622641509433965,51.0,0.0,0.515625,,0.89375,1.0,0.0,17,,[0.025],[0.95]
3971,89508867,6,886756,Absent,13,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1.0,9,22,0.975,12.0,0.10869565217391304,43.0,0.6037735849056604,0.609375,,0.8875,0.39622641509433965,0.0,18,,[0.025],[0.95]
3977,89508867,9,886756,Absent,14,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,27,5,Unicorn_Absent,-1,-1.0,9,17,0.96875,13.0,0.19047619047619047,35.0,0.6037735849056604,0.46875,,0.975,0.10869565217391304,0.6037735849056604,4,,[0.025],[0.95]
3979,89508867,10,886756,Absent,14,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,27,5,Unicorn_Absent,-1,-1.0,9,44,0.96875,13.0,1.0,35.0,0.2178349600709849,0.46875,,0.96875,0.19047619047619047,0.6037735849056604,5,,[0.025],[0.95]
3981,89508867,11,886756,Absent,52,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,14,18,Unicorn_Absent,-1,-1.0,9,58,0.8875,40.0,0.15217391304347827,49.0,0.2178349600709849,0.484375,,0.96875,1.0,0.2178349600709849,5,,[0.025],[0.95]
3993,89508867,17,886756,Absent,33,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,25,7,Unicorn_Absent,-1,-1.0,9,105,0.95625,25.0,0.3829787234042553,39.0,0.15734989648033126,0.5,,0.8875,0.15217391304347827,0.2178349600709849,18,,[0.025],[0.95]
3995,89508867,18,886756,Absent,33,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,18,14,Unicorn_Absent,-1,-1.0,9,123,0.9125,25.0,1.0,41.0,0.15734989648033126,0.421875,,0.95625,0.3829787234042553,0.15734989648033126,7,,[0.025],[0.95]
4001,89508867,21,886756,Absent,34,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,22,10,Unicorn_Absent,-1,-1.0,9,99,0.9375,27.0,0.3,47.0,0.0,0.578125,,0.9125,1.0,0.15734989648033126,14,,[0.025],[0.95]
