index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3305,18345270,33,527068,Absent,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1,Unicorn_Absent,-1,-1.0,9,396,0.99375,6.0,1.0,37.0,0.0,0.5625,RS,RS,0.08633762966036206,0.99375,1.0,0.0,1,0.08633762966036206
3311,18345270,36,527068,Absent,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,32,0,Unicorn_Absent,-1,-1.0,9,428,1.0,13.0,0.05555555555555555,13.0,0.453125,0.203125,RS,RS,0.02717246117223556,0.99375,1.0,0.0,1,0.08633762966036206
3329,18345270,45,527068,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,444,0.9,32.0,0.25,48.0,0.453125,0.5,RIGHT,RIGHT,1.0,1.0,0.05555555555555555,0.453125,0,0.02717246117223556
3333,18345270,47,527068,Absent,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,475,0.99375,1.0,0.0,64.0,0.0,0.984375,RS,RS,0.36787944117144233,0.9,0.25,0.453125,16,1.0
3335,18345270,48,527068,Absent,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,506,0.99375,1.0,1.0,64.0,0.0,0.984375,RS,RS,0.36787944117144233,0.99375,0.0,0.0,1,0.36787944117144233
3337,18345270,49,527068,Absent,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,537,0.99375,1.0,1.0,64.0,0.2682926829268293,0.984375,RS,RS,0.36787944117144233,0.99375,1.0,0.0,1,0.36787944117144233
3341,18345270,51,527068,Absent,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,568,0.99375,1.0,1.0,35.0,0.2682926829268293,0.53125,RS,RS,0.36787944117144233,0.99375,1.0,0.2682926829268293,1,0.36787944117144233
3343,18345270,52,527068,Absent,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,599,0.99375,1.0,1.0,35.0,0.03783783783783784,0.53125,RS,RS,0.36787944117144233,0.99375,1.0,0.2682926829268293,1,0.36787944117144233
3351,18345270,56,527068,Absent,30,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,9,625,0.9625,21.0,0.0,32.0,0.03783783783783784,0.40625,RS,RS,0.010228516799093708,0.99375,1.0,0.03783783783783784,1,0.36787944117144233
3353,18345270,57,527068,Absent,27,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,9,651,0.9625,21.0,0.2,41.0,0.3729674796747967,0.546875,RS,RS,0.010228516799093708,0.9625,0.0,0.03783783783783784,6,0.010228516799093708
3355,18345270,58,527068,Absent,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,30,2,Unicorn_Absent,-1,-1.0,9,681,0.9875,4.0,0.041666666666666664,34.0,0.3729674796747967,0.5,RS,RS,0.1353352832366127,0.9625,0.2,0.3729674796747967,6,0.010228516799093708
1080,19127246,1,191255,Absent,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1.0,0,27,0.96875,5.0,1.0,38.0,0.0,0.515625,RS,RS,0.10687792566038574,,,,,
1082,19127246,2,191255,Absent,55,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,18,14,Unicorn_Absent,-1,-1.0,0,45,0.9125,39.0,0.07317073170731707,50.0,0.0,0.5625,RS,RS,0.006737946999085467,0.96875,1.0,0.0,5,0.10687792566038574
1086,19127246,4,191255,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,15,17,Unicorn_Absent,-1,-1.0,6,60,0.89375,32.0,0.36538461538461536,46.0,0.18682926829268293,0.453125,RIGHT,RIGHT,1.0,0.9125,0.07317073170731707,0.0,14,0.006737946999085467
1088,19127246,5,191255,Absent,31,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,0,80,0.925,27.0,0.2826086956521739,44.0,0.18682926829268293,0.5,RS,RS,0.005537830714382473,0.89375,0.36538461538461536,0.18682926829268293,17,1.0
1090,19127246,6,191255,Absent,17,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,111,0.99375,16.0,0.22857142857142856,19.0,0.06305903398926654,0.28125,RS,RS,0.01831563888873418,0.925,0.2826086956521739,0.18682926829268293,12,0.005537830714382473
1096,19127246,9,191255,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,143,1.0,1.0,0.0,33.0,0.06305903398926654,0.515625,RS,RS,0.36787944117144233,0.99375,0.22857142857142856,0.06305903398926654,1,0.01831563888873418
1098,19127246,10,191255,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,175,1.0,1.0,1.0,33.0,0.11274014155712841,0.515625,RS,RS,0.36787944117144233,1.0,0.0,0.06305903398926654,0,0.36787944117144233
