index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
996,89318798,37,879873,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,22,10,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,NOTHING,996,120,0.9375,32.0,0.0,40.0,0.21951219512195122,0.46875,1.0,0.35,1.0,0.0,0,1.0
997,89318798,38,879873,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,997,152,1.0,0.0,0.0,32.0,0.21951219512195122,0.5,1.0,0.9375,0.0,0.21951219512195122,10,1.0
998,89318798,39,879873,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,Unicorn_Absent,NOTHING,NOTHING,RS,998,184,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,0.0,0.21951219512195122,0,1.0
999,89318798,40,879873,Absent,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,18,14,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,UP,999,202,0.9125,30.0,0.0,48.0,1.0,0.53125,0.005034190088132767,1.0,1.0,0.0,0,1.0
1000,89318798,41,879873,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1,4,Unicorn_Present,UP,UP,RS,1000,202,0.8,32.0,0.2916666666666667,64.0,0.20833333333333331,0.5,1.0,0.9125,0.0,1.0,14,0.005034190088132767
1002,89318798,43,879873,Absent,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,DOWN,1002,231,0.98125,7.0,0.08333333333333333,36.0,0.4166666666666667,0.515625,0.07095202666684558,0.8,0.2916666666666667,0.20833333333333331,32,1.0
1003,89318798,44,879873,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1,3,Unicorn_Present,DOWN,DOWN,LEFT,1003,231,0.8,32.0,0.11428571428571428,64.0,0.38571428571428573,0.5,1.0,0.98125,0.08333333333333333,0.4166666666666667,3,0.07095202666684558
1005,89318798,46,879873,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,19,13,Unicorn_Absent,-1,-1,5,Unicorn_Present,LEFT,LEFT,RS,1005,250,0.91875,32.0,0.3333333333333333,44.0,0.057291666666666685,0.484375,1.0,0.8,0.11428571428571428,0.38571428571428573,32,1.0
1007,89318798,48,879873,Absent,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,1007,282,1.0,3.0,0.06060606060606061,3.0,0.06060606060606061,0.046875,0.17692120631776423,0.91875,0.3333333333333333,0.057291666666666685,13,1.0
1008,89318798,49,879873,Absent,63,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,32,0,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,1008,314,1.0,44.0,0.044444444444444446,44.0,0.9555555555555556,0.6875,0.01142289099346694,1.0,0.06060606060606061,0.06060606060606061,0,0.17692120631776423
1009,89318798,50,879873,Absent,58,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,-32,0,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,RS,1009,282,0.6,39.0,0.43103448275862066,39.0,0.5689655172413793,0.609375,0.006737946999085467,1.0,0.044444444444444446,0.9555555555555556,0,0.01142289099346694
1013,89318798,54,879873,Absent,33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,17,15,Unicorn_Absent,-1,-1,9,Unicorn_Present,RS,RS,LEFT,1013,299,0.90625,27.0,0.375,44.0,0.375,0.453125,0.005537830714382473,0.6,0.43103448275862066,0.5689655172413793,0,0.006737946999085467
1015,89318798,56,879873,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,23,9,Unicorn_Absent,-1,-1,5,Unicorn_Absent,LEFT,LEFT,RS,1015,322,0.94375,32.0,0.3409090909090909,40.0,0.14578713968957868,0.484375,1.0,0.90625,0.375,0.375,15,0.005537830714382473
1016,89318798,57,879873,Absent,25,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,26,6,Unicorn_Absent,-1,-1,9,Unicorn_Absent,RS,RS,RS,1016,348,0.9625,22.0,0.2,37.0,0.04848484848484849,0.484375,0.009182867495108389,0.94375,0.3409090909090909,0.14578713968957868,9,1.0
