level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
1520,3024,55228029,13,552251,Absent,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,-303,0.975,8.0,0.058823529411764705,36.0,0.0,0.5,RS,0.387250581508453,1.0,1.0,0.0,0,0.36972808936944906,0.05,0
1522,3026,55228029,14,552251,Absent,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,-274,0.98125,8.0,1.0,40.0,0.0,0.578125,RS,0.387250581508453,0.975,0.058823529411764705,0.0,4,0.387250581508453,0.05,0
1524,3028,55228029,15,552251,Absent,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1,0,-249,0.95625,8.0,1.0,37.0,0.0,0.46875,RS,0.387250581508453,0.98125,1.0,0.0,3,0.387250581508453,0.05,0
1526,3030,55228029,16,552251,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1,4,-233,0.9,32.0,0.1111111111111111,48.0,1.0,0.5,UP,0.18818508442027443,0.95625,1.0,0.0,7,0.387250581508453,0.05,0
1528,3036,55228029,19,552251,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1,5,-164,1.0,32.0,0.3333333333333333,64.0,1.0,1.0,LEFT,0.18818508442027443,0.9,0.1111111111111111,1.0,16,0.18818508442027443,0.05,0
1530,3038,55228029,20,552251,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,10,Unicorn_Absent,-1,-1,3,-142,0.9375,32.0,0.3333333333333333,45.0,0.058823529411764705,0.546875,DOWN,0.17389813739634405,1.0,0.3333333333333333,1.0,0,0.18818508442027443,0.05,0
1532,3042,55228029,22,552251,Absent,20,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27,5,Unicorn_Absent,-1,-1,0,-184,0.96875,16.0,0.14285714285714285,34.0,0.058823529411764705,0.453125,RS,0.2800485757226742,0.9375,0.3333333333333333,0.058823529411764705,10,0.17389813739634405,0.05,0
1534,3046,55228029,24,552251,Absent,52,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,20,12,Unicorn_Absent,-1,-1,0,-228,0.925,35.0,0.24390243902439024,45.0,0.6326530612244898,0.515625,RS,0.16529888822158656,0.96875,0.14285714285714285,0.058823529411764705,5,0.2800485757226742,0.05,0
1536,3048,55228029,25,552251,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,20,12,Unicorn_Absent,-1,-1,8,-208,0.925,28.0,0.3125,38.0,0.6326530612244898,0.40625,OUT,0.2103787656745015,0.925,0.24390243902439024,0.6326530612244898,12,0.16529888822158656,0.05,0
1538,3050,55228029,26,552251,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,22,Unicorn_Absent,-1,-1,1,-198,0.8625,64.0,0.4375,64.0,0.5800000000000001,0.65625,ALL,0.0924417853680727,0.925,0.3125,0.6326530612244898,12,0.2103787656745015,0.05,0
