level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
694,1320,20939940,1,209386,Absent,58,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,14,18,Unicorn_Absent,-1,-1.0,0,14,0.8875,36.0,1.0,49.0,0.0,0.484375,RS,0.15734346296411772,,,,,,0,1
696,1338,20939940,10,209386,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,156,1.0,0.0,0.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,0.8875,1.0,0.0,18,0.15734346296411772,0,1
698,1340,20939940,11,209386,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,174,0.9125,28.0,0.0,46.0,0.23529411764705882,0.5,OUT,0.2103787656745015,1.0,0.0,0.0,0,0.6542510918525355,0,1
700,1342,20939940,12,209386,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,190,0.9,32.0,0.30434782608695654,48.0,0.23529411764705882,0.5,LEFT,0.18818508442027443,0.9125,0.0,0.23529411764705882,14,0.2103787656745015,0,1
702,1344,20939940,13,209386,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,222,1.0,28.0,0.30434782608695654,64.0,0.3333333333333333,1.0,OUT,0.2103787656745015,0.9,0.30434782608695654,0.23529411764705882,16,0.18818508442027443,0,1
704,1350,20939940,16,209386,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,300,0.8875,36.0,0.0,50.0,0.3333333333333333,0.5,IN,0.15734346296411772,1.0,0.30434782608695654,0.3333333333333333,0,0.2103787656745015,0,1
706,1352,20939940,17,209386,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,4,318,0.9125,32.0,0.36,46.0,0.028985507246376774,0.5,UP,0.18818508442027443,0.8875,0.0,0.3333333333333333,18,0.15734346296411772,0,1
708,1356,20939940,19,209386,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,5,374,1.0,32.0,0.3333333333333333,32.0,0.028985507246376774,0.5,LEFT,0.18818508442027443,0.9125,0.36,0.028985507246376774,14,0.18818508442027443,0,1
710,1358,20939940,20,209386,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,406,1.0,28.0,0.30434782608695654,28.0,0.055652173913043446,0.4375,OUT,0.2103787656745015,1.0,0.3333333333333333,0.028985507246376774,0,0.18818508442027443,0,1
712,1362,20939940,22,209386,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,358,0.9,32.0,0.30434782608695654,48.0,0.055652173913043446,0.5,DOWN,0.17389813739634405,1.0,0.30434782608695654,0.055652173913043446,0,0.2103787656745015,0,1
714,1372,20939940,27,209386,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,7,499,0.8875,36.0,0.36,50.0,0.36,0.5,IN,0.15734346296411772,0.9,0.30434782608695654,0.055652173913043446,16,0.17389813739634405,0,1
716,1374,20939940,28,209386,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,531,1.0,36.0,1.0,64.0,0.36,1.0,IN,0.15734346296411772,0.8875,0.36,0.36,18,0.15734346296411772,0,1
718,1382,20939940,32,209386,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,4,630,0.9125,32.0,0.36,46.0,0.055652173913043446,0.5,UP,0.18818508442027443,1.0,1.0,0.36,0,0.15734346296411772,0,1
