index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,RegionGo,RegionGo2
37.0,24655781,38,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1138.0,1.0,0.0,UP,45,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
38.0,24655781,39,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1170.0,1.0,0.0,UP,46,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
39.0,24655781,40,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1202.0,1.0,0.0,UP,47,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
40.0,24655781,41,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1234.0,1.0,0.0,UP,48,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
41.0,24655781,42,781,Absent,30.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1266.0,1.0,0.0,UP,49,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
42.0,24655781,43,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1298.0,1.0,0.0,UP,51,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
44.0,24655781,44,781,Absent,18.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1362.0,1.0,0.0,UP,52,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
46.0,24655781,47,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1426.0,1.0,0.0,UP,56,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
48.0,24655781,48,781,Absent,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,1474.0,1.0,0.0,UP,57,0,29.025,32.0,32,1.0,64,0.0,1.0,29.025,1.0,1.0,0.0,UP,UP
49.0,24655781,50,781,Absent,32.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.025,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,1522.0,1.0,0.0,UP,60,0,29.025,29.025,32,1.0,64,0.0,1.0,32.0,1.0,1.0,0.0,UP,UP
