index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,90578145,46,145,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,27,5,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,OUT,OUT,NOTHING,462,0.96875,28,0.21621621621621623,35.0,0.08801108801108803,0.46875,1.0,0.9375,1.0,0.64,10.0,0.016194143319162562
0,90578145,47,145,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RS,494,1.0,0,0.0,12.0,1.0,0.1875,1.0,0.96875,0.21621621621621623,0.08801108801108803,5.0,1.0
0,90578145,49,145,Absent,21,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,515,0.93125,15,0.0,40.0,0.17073170731707318,0.453125,0.020796234419099814,1.0,0.0,1.0,0.0,1.0
0,90578145,50,145,Absent,21,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,547,1.0,15,1.0,22.0,0.868421052631579,0.34375,0.020796234419099814,0.93125,0.0,0.17073170731707318,11.0,0.020796234419099814
0,90578145,52,145,Absent,26,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,23,9,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,570,0.94375,22,0.1935483870967742,41.0,0.09979838709677419,0.5,0.009182867495108389,1.0,1.0,0.868421052631579,0.0,0.020796234419099814
0,90578145,55,145,Absent,62,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RIGHT,586,0.9,38,0.25,50.0,0.08333333333333334,0.53125,0.009182867495108389,0.94375,0.1935483870967742,0.09979838709677419,9.0,0.009182867495108389
0,90578145,59,145,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,6,Unicorn_Present,RIGHT,RIGHT,,602,0.9,32,0.34615384615384615,48.0,0.041806020066889604,0.5,1.0,0.9,0.25,0.08333333333333334,16.0,0.009182867495108389
0,90578145,2,905787,Absent,54,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,-3,35,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,-3,0.78125,35,,64.0,,0.453125,0.005537830714382473,,,,,
0,90578145,3,905787,Absent,43,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,21,0.95,32,0.28846153846153844,46.0,0.055288461538461564,0.59375,0.0061027272741740034,0.78125,,,35.0,0.005537830714382473
0,90578145,6,905787,Absent,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,53,1.0,4,0.0,28.0,0.21052631578947367,0.4375,0.1353352832366127,0.95,0.28846153846153844,0.055288461538461564,8.0,0.0061027272741740034
0,90578145,12,905787,Absent,30,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,83,0.9875,22,0.08333333333333333,26.0,0.011904761904761904,0.375,0.009182867495108389,1.0,0.0,0.21052631578947367,0.0,0.1353352832366127
0,90578145,13,905787,Absent,30,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,NOTHING,104,0.93125,22,1.0,47.0,0.9230769230769231,0.5625,0.009182867495108389,0.9875,0.08333333333333333,0.011904761904761904,2.0,0.009182867495108389
0,90578145,15,905787,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RIGHT,136,1.0,0,0.0,36.0,1.0,0.5625,1.0,0.93125,1.0,0.9230769230769231,11.0,0.009182867495108389
0,90578145,18,905787,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,RIGHT,RIGHT,RS,136,0.8,32,0.0,64.0,0.5625,0.5,1.0,1.0,0.0,1.0,0.0,1.0
