index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
3669,94759672,35,967216,Absent,41,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,32,0,Unicorn_Absent,-1,-1.0,9,382,1.0,32.0,1.0,33.0,0.0,0.515625,RS,RS,0.004180913251655786,1.0,1.0,0.0,0,0.004180913251655786
3675,94759672,38,967216,Absent,41,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,32,0,Unicorn_Absent,-1,-1.0,9,414,1.0,32.0,1.0,33.0,0.0,0.515625,RS,RS,0.004180913251655786,1.0,1.0,0.0,0,0.004180913251655786
3683,94759672,42,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,446,1.0,32.0,0.3617021276595745,33.0,0.0,0.515625,RIGHT,RIGHT,1.0,1.0,1.0,0.0,0,0.004180913251655786
3685,94759672,43,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,478,1.0,32.0,1.0,33.0,0.9565217391304348,0.515625,RIGHT,RIGHT,1.0,1.0,0.3617021276595745,0.0,0,1.0
3689,94759672,45,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,510,1.0,32.0,1.0,33.0,0.9565217391304348,0.515625,RIGHT,RIGHT,1.0,1.0,1.0,0.9565217391304348,0,1.0
3691,94759672,46,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,542,1.0,32.0,1.0,33.0,0.6170212765957447,0.515625,RIGHT,RIGHT,1.0,1.0,1.0,0.9565217391304348,0,1.0
3693,94759672,47,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,574,1.0,32.0,1.0,33.0,0.6170212765957447,0.515625,RIGHT,RIGHT,1.0,1.0,1.0,0.6170212765957447,0,1.0
3697,94759672,49,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,606,1.0,32.0,1.0,33.0,0.26,0.515625,RIGHT,RIGHT,1.0,1.0,1.0,0.6170212765957447,0,1.0
3701,94759672,51,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,21,11,Unicorn_Absent,-1,-1.0,6,627,0.93125,32.0,1.0,44.0,0.26,0.515625,RIGHT,RIGHT,1.0,1.0,1.0,0.26,0,1.0
3703,94759672,52,967216,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,10,22,Unicorn_Absent,-1,-1.0,6,637,0.8625,32.0,1.0,52.0,0.8461538461538461,0.46875,RIGHT,RIGHT,1.0,0.93125,1.0,0.26,11,1.0
3707,94759672,54,967216,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,5,661,0.95,32.0,0.0,45.0,0.8461538461538461,0.578125,LEFT,LEFT,1.0,0.8625,1.0,0.8461538461538461,22,1.0
3709,94759672,55,967216,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,5,681,0.925,32.0,1.0,44.0,0.2857142857142857,0.5,LEFT,LEFT,1.0,0.95,0.0,0.8461538461538461,8,1.0
3715,94759672,58,967216,Absent,41,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,32,0,Unicorn_Absent,-1,-1.0,9,713,1.0,31.0,0.2857142857142857,31.0,0.2857142857142857,0.484375,RS,RS,0.004584084770106734,0.925,1.0,0.2857142857142857,12,1.0
4081,96799198,1,919806,Absent,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,9,29,0.98125,5.0,1.0,25.0,0.0,0.34375,RS,RS,0.10687792566038574,,,,,
4087,96799198,4,919806,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,45,0.9,32.0,0.0,48.0,0.0,0.5,DOWN,DOWN,1.0,0.98125,1.0,0.0,3,0.10687792566038574
