index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,1114412411,21,111444,Present,13,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,29,8,Unicorn_Present,4,2.0,0,Unicorn_Absent,331,0.98125,10.0,RS,21,0.225,34,0.024999999999999994,0.40625,0.328125,22.0,0.9375,0.22857142857142856,0.12115384615384617,RS,RS,RS,0.4375,1.2
0,1114412411,22,111444,Absent,32,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,22,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,353,0.9375,3.0,RS,22,0.22857142857142856,39,0.021428571428571436,0.5,0.35135135135135137,29.0,0.98125,0.11764705882352941,0.024999999999999994,RS,RS,RS,0.328125,1.2
0,1114412411,23,111444,Absent,32,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,24,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,377,0.95,10.0,RS,16,0.11764705882352941,36,0.045143638850889206,0.46875,0.2631578947368421,22.0,0.9375,0.16216216216216217,0.021428571428571436,RS,RS,RS,0.35135135135135137,1.2
0,1114412411,24,111444,Absent,32,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,24,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,401,0.95,8.0,RS,27,0.16216216216216217,42,0.05735003295978905,0.515625,0.43902439024390244,24.0,0.95,0.34210526315789475,0.045143638850889206,RS,RS,RS,0.2631578947368421,1.2
0,1114412411,25,111444,Present,17,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,28,9,Unicorn_Present,1,5.0,0,Unicorn_Present,429,0.975,8.0,RS,24,0.34210526315789475,35,0.1842105263157895,0.40625,0.375,24.0,0.95,0.2631578947368421,0.05735003295978905,RS,RS,RS,0.43902439024390244,1.2
0,1114412411,26,111444,Absent,32,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,-70,12,Unicorn_Present,6,0.0,0,Unicorn_Absent,359,0.3625,4.0,RS,24,0.2631578947368421,42,0.04364569961489087,0.46875,0.375,28.0,0.975,0.05555555555555555,0.1842105263157895,RS,RS,RS,0.375,1.2
0,1114412411,27,111444,Absent,32,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,379,0.925,6.0,RS,14,0.05555555555555555,39,0.21527777777777776,0.515625,0.24324324324324326,-70.0,0.3625,0.10714285714285714,0.04364569961489087,RS,RS,RS,0.375,1.2
0,1114412411,28,111444,Absent,32,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,21,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,400,0.93125,12.0,RS,17,0.10714285714285714,30,0.1367595818815331,0.359375,0.36363636363636365,20.0,0.925,0.05405405405405406,0.21527777777777776,RS,RS,RS,0.24324324324324326,1.2
0,1114412411,29,111444,Absent,32,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,23,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,423,0.94375,11.0,RS,22,0.05405405405405406,33,0.1072362685265911,0.4375,0.38461538461538464,21.0,0.93125,0.2972972972972973,0.1367595818815331,RS,RS,RS,0.36363636363636365,1.2
0,1114412411,30,111444,Absent,32,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,22,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,445,0.9375,9.0,RS,26,0.2972972972972973,37,0.213963963963964,0.390625,0.40625,23.0,0.94375,0.3076923076923077,0.1072362685265911,RS,RS,RS,0.38461538461538464,1.2
0,1114412411,31,111444,Absent,32,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,25,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,470,0.95625,10.0,RS,25,0.3076923076923077,43,0.06378986866791747,0.515625,0.390625,22.0,0.9375,0.2619047619047619,0.213963963963964,RS,RS,RS,0.40625,1.2
0,1114412411,32,111444,Absent,32,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,24,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,494,0.95,7.0,RS,28,0.2619047619047619,40,0.06190476190476191,0.5,0.4375,25.0,0.95625,0.1951219512195122,0.06378986866791747,RS,RS,RS,0.390625,1.2
0,1114412411,33,111444,Absent,32,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,23,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,517,0.94375,8.0,RS,21,0.1951219512195122,32,0.07154471544715446,0.390625,0.358974358974359,24.0,0.95,0.3235294117647059,0.06190476190476191,RS,RS,RS,0.4375,1.2
0,1114412411,34,111444,Absent,32,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,-76,11,Unicorn_Present,2,7.0,0,Unicorn_Absent,441,0.325,9.0,RS,24,0.3235294117647059,34,0.1047794117647059,0.359375,0.375,23.0,0.94375,0.23684210526315788,0.07154471544715446,RS,RS,RS,0.358974358974359,1.2
0,1114412411,35,111444,Absent,32,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,25,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,466,0.95625,12.0,RS,23,0.23684210526315788,38,0.10170697012802274,0.5,0.359375,-76.0,0.325,0.18181818181818182,0.1047794117647059,RS,RS,RS,0.375,1.2
0,1114412411,36,111444,Absent,32,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,-74,10,Unicorn_Present,5,7.0,0,Unicorn_Absent,392,0.3375,7.0,RS,29,0.18181818181818182,44,0.02870813397129185,0.53125,0.453125,25.0,0.95625,0.2682926829268293,0.10170697012802274,RS,RS,RS,0.359375,1.2
0,1114412411,37,111444,Absent,32,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,20,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,412,0.925,10.0,RS,23,0.2682926829268293,37,0.047496790757381224,0.40625,0.359375,-74.0,0.3375,0.2926829268292683,0.02870813397129185,RS,RS,RS,0.453125,1.2
0,1114412411,38,111444,Absent,32,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,21,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,433,0.93125,12.0,RS,30,0.2926829268292683,44,0.09756097560975607,0.53125,0.46875,20.0,0.925,0.20930232558139536,0.047496790757381224,RS,RS,RS,0.359375,1.2
0,1114412411,39,111444,Absent,32,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,23,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,456,0.94375,11.0,RS,22,0.20930232558139536,40,0.05385556915544673,0.53125,0.34375,21.0,0.93125,0.175,0.09756097560975607,RS,RS,RS,0.46875,1.2
0,1114412411,40,111444,Absent,32,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,-74,9,Unicorn_Present,2,2.0,0,Unicorn_Absent,382,0.3375,9.0,RS,25,0.175,40,0.0881578947368421,0.484375,0.390625,23.0,0.94375,0.2222222222222222,0.05385556915544673,RS,RS,RS,0.34375,1.2
0,1114412411,41,111444,Absent,32,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,20,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,402,0.925,10.0,RS,19,0.2222222222222222,42,0.007936507936507936,0.59375,0.3076923076923077,-74.0,0.3375,0.13157894736842105,0.0881578947368421,RS,RS,RS,0.390625,1.2
0,1114412411,42,111444,Absent,32,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,22,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,424,0.9375,12.0,RS,24,0.13157894736842105,43,0.16387559808612442,0.5,0.375,20.0,0.925,0.19444444444444445,0.007936507936507936,RS,RS,RS,0.3076923076923077,1.2
0,1114412411,43,111444,Absent,32,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,21,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,445,0.93125,10.0,RS,19,0.19444444444444445,34,0.014857881136950912,0.421875,0.3076923076923077,22.0,0.9375,0.08333333333333333,0.16387559808612442,RS,RS,RS,0.375,1.2
0,1114412411,44,111444,Absent,32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,-76,10,Unicorn_Present,0,0.0,0,Unicorn_Present,369,0.325,11.0,RS,20,0.08333333333333333,45,0.24224806201550392,0.546875,0.3125,21.0,0.93125,0.09375,0.014857881136950912,RS,RS,RS,0.3076923076923077,1.2
