index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Delta
0,1022893933,41,939338,Present,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,31,9,Unicorn_Present,2,1.0,0,Unicorn_Absent,430,0.99375,0.0,RS,20,0.16216216216216217,37,0.023884349465744803,0.4375,0.37142857142857144,32.0,1.0,0.12195121951219512,0.02857142857142858,RS,RS,RS,0.359375,1
0,1022893933,42,939338,Absent,32,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,21,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,451,0.93125,1.0,RS,26,0.12195121951219512,41,0.1753460777851022,0.53125,0.40625,31.0,0.99375,0.30952380952380953,0.023884349465744803,RS,RS,RS,0.37142857142857144,1
0,1022893933,43,939338,Absent,32,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,19,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,470,0.91875,11.0,RS,29,0.30952380952380953,41,0.19841269841269843,0.546875,0.453125,21.0,0.93125,0.27906976744186046,0.1753460777851022,RS,RS,RS,0.40625,1
0,1022893933,44,939338,Absent,32,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,492,0.9375,13.0,RS,26,0.27906976744186046,44,0.0012919896640826711,0.53125,0.40625,19.0,0.91875,0.3076923076923077,0.19841269841269843,RS,RS,RS,0.453125,1
0,1022893933,45,939338,Present,5,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,32,8,Unicorn_Present,5,3.0,0,Unicorn_Absent,524,1.0,10.0,RS,25,0.3076923076923077,42,0.015009380863039434,0.53125,0.390625,22.0,0.9375,0.20512820512820512,0.0012919896640826711,RS,RS,RS,0.40625,1
0,1022893933,46,939338,Absent,32,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,21,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,545,0.93125,0.0,RS,22,0.20512820512820512,38,0.038461538461538464,0.46875,0.34375,32.0,1.0,0.1388888888888889,0.015009380863039434,RS,RS,RS,0.390625,1
0,1022893933,47,939338,Absent,32,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-77,7,Unicorn_Present,6,0.0,0,Unicorn_Present,468,0.31875,11.0,RS,19,0.1388888888888889,34,0.2986111111111111,0.421875,0.296875,21.0,0.93125,0.17073170731707318,0.038461538461538464,RS,RS,RS,0.34375,1
0,1022893933,48,939338,Absent,32,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,-76,5,Unicorn_Present,3,1.0,0,Unicorn_Absent,392,0.325,13.0,RS,29,0.17073170731707318,43,0.07169253510716925,0.59375,0.453125,-77.0,0.31875,0.30612244897959184,0.2986111111111111,RS,RS,RS,0.296875,1
0,1022893933,49,939338,Absent,32,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,23,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,415,0.94375,12.0,RS,35,0.30612244897959184,48,0.12191192266380238,0.546875,0.546875,-76.0,0.325,0.23404255319148937,0.07169253510716925,RS,RS,RS,0.453125,1
0,1022893933,50,939338,Absent,32,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,21,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,436,0.93125,9.0,RS,23,0.23404255319148937,40,0.14101929737753588,0.5625,0.359375,23.0,0.94375,0.1951219512195122,0.12191192266380238,RS,RS,RS,0.546875,1
