index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,1490314743,2,149038,Absent,32,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,16,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,43,0.9,5.0,RS,26,0.3488372093023256,40,0.13455149501661132,0.484375,0.40625,27.0,0.96875,0.18181818181818182,,RS,RS,RS,0.5,1
0,1490314743,3,149038,Absent,32,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,21,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,64,0.93125,16.0,RS,26,0.18181818181818182,42,0.023310023310023298,0.53125,0.4146341463414634,16.0,0.9,0.3235294117647059,0.13455149501661132,RS,RS,RS,0.40625,1
0,1490314743,4,149038,Absent,32,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,23,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,87,0.94375,11.0,RS,19,0.3235294117647059,33,0.06037151702786381,0.359375,0.3076923076923077,21.0,0.93125,0.23684210526315788,0.023310023310023298,RS,RS,RS,0.4146341463414634,1
0,1490314743,5,149038,Absent,32,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,-73,12,Unicorn_Present,0,3.0,0,Unicorn_Present,14,0.34375,9.0,RS,28,0.23684210526315788,41,0.07017543859649122,0.453125,0.4375,23.0,0.94375,0.2631578947368421,0.06037151702786381,RS,RS,RS,0.3076923076923077,1
0,1490314743,6,149038,Absent,32,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-77,8,Unicorn_Present,5,6.0,0,Unicorn_Present,-63,0.31875,9.0,RS,20,0.2631578947368421,33,0.019914651493598834,0.390625,0.3333333333333333,-73.0,0.34375,0.14634146341463414,0.07017543859649122,RS,RS,RS,0.4375,1
0,1490314743,7,149038,Absent,32,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,-76,13,Unicorn_Present,0,0.0,0,Unicorn_Absent,-139,0.325,13.0,RS,27,0.14634146341463414,42,0.11006879299562225,0.453125,0.421875,-77.0,0.31875,0.28205128205128205,0.019914651493598834,RS,RS,RS,0.3333333333333333,1
0,1490314743,8,149038,Absent,32,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,19,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-120,0.91875,12.0,RS,23,0.28205128205128205,45,0.026732133115111856,0.5625,0.359375,-76.0,0.325,0.2972972972972973,0.11006879299562225,RS,RS,RS,0.421875,1
0,1490314743,9,149038,Present,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,32,7,Unicorn_Present,1,0.0,0,Unicorn_Present,-88,1.0,13.0,RS,25,0.2972972972972973,42,0.018227529855436853,0.546875,0.425,19.0,0.91875,0.30952380952380953,0.026732133115111856,RS,RS,RS,0.359375,1
0,1490314743,10,149038,Absent,32,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,-73,9,Unicorn_Present,0,6.0,0,Unicorn_Present,-161,0.34375,0.0,RS,30,0.30952380952380953,41,0.08730158730158732,0.5,0.46875,32.0,1.0,0.28888888888888886,0.018227529855436853,RS,RS,RS,0.425,1
0,1490314743,11,149038,Present,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,31,10,Unicorn_Present,0,0.0,0,Unicorn_Absent,-130,0.99375,9.0,RS,28,0.28888888888888886,41,0.1863247863247863,0.484375,0.4375,-73.0,0.34375,0.275,0.08730158730158732,RS,RS,RS,0.46875,1
