index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,973396298,22,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,4,4.0,2,Unicorn_Present,114,0.4,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,32.0,1.0,1.0,0.0,NOTHING,NOTHING,NOTHING,1.0
0,973396298,23,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,3,3.0,2,Unicorn_Absent,50,0.4,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,-64.0,0.4,1.0,0.0,NOTHING,NOTHING,RS,1.0
0,973396298,24,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,82,1.0,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,-64.0,0.4,0.0,0.0,NOTHING,RS,RS,1.0
0,973396298,25,6298,Present,32,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,18,14,Unicorn_Present,2,3.0,0,Unicorn_Present,100,0.9125,0.0,RS,25,0.0,39,0.0,0.390625,0.425,32.0,1.0,0.15384615384615385,0.0,NOTHING,RS,RS,1.0
0,973396298,26,6298,Present,24,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,25,14,Unicorn_Present,5,4.0,0,Unicorn_Present,125,0.95625,14.0,RS,20,0.15384615384615385,38,0.1505016722408027,0.375,0.3333333333333333,18.0,0.9125,0.25,0.0,RS,RS,RS,0.425
0,973396298,27,6298,Present,3,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,32,14,Unicorn_Present,2,3.0,0,Unicorn_Present,157,1.0,7.0,RS,25,0.25,42,0.09042553191489361,0.4375,0.390625,25.0,0.95625,0.25,0.1505016722408027,RS,RS,RS,0.3333333333333333
0,973396298,28,6298,Absent,32,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,-72,6,Unicorn_Present,4,6.0,0,Unicorn_Present,85,0.35,0.0,RS,25,0.25,40,0.11956521739130435,0.53125,0.390625,32.0,1.0,0.3611111111111111,0.09042553191489361,RS,RS,RS,0.390625
0,973396298,29,6298,Present,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,32,12,Unicorn_Present,3,2.0,0,Unicorn_Absent,117,1.0,8.0,RS,24,0.3611111111111111,43,0.12301587301587302,0.484375,0.375,-72.0,0.35,0.3142857142857143,0.11956521739130435,RS,RS,RS,0.390625
0,973396298,30,6298,Absent,32,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,22,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,139,0.9375,0.0,RS,22,0.3142857142857143,33,0.0761904761904762,0.359375,0.35,32.0,1.0,0.24324324324324326,0.12301587301587302,RS,RS,ALL,0.375
0,973396298,31,6298,Absent,32,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,160,0.93125,10.0,RS,24,0.24324324324324326,40,0.07251153592617007,0.453125,0.3953488372093023,22.0,0.9375,0.375,0.0761904761904762,RS,ALL,ALL,0.35
