level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
140,292,10455677,27,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,192,1.0,32.0,1.0,64.0,0.17224880382775118,1.0,DOWN,0.17389813739634405,1.0,0.3541666666666667,0.12898936170212766,0,0.17389813739634405,0.3,0.6
142,294,10455677,28,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,224,1.0,32.0,1.0,64.0,0.17224880382775118,1.0,DOWN,0.17389813739634405,1.0,1.0,0.17224880382775118,0,0.17389813739634405,0.3,0.6
144,296,10455677,29,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,256,1.0,32.0,1.0,64.0,0.03924528301886793,1.0,DOWN,0.17389813739634405,1.0,1.0,0.17224880382775118,0,0.17389813739634405,0.3,0.6
146,306,10455677,34,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,416,1.0,32.0,1.0,64.0,0.03924528301886793,1.0,DOWN,0.17389813739634405,1.0,1.0,0.03924528301886793,0,0.17389813739634405,0.3,0.6
148,312,10455677,37,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,512,1.0,32.0,1.0,64.0,0.235,1.0,DOWN,0.17389813739634405,1.0,1.0,0.03924528301886793,0,0.17389813739634405,0.3,0.6
150,318,10455677,40,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,608,1.0,32.0,1.0,64.0,0.235,1.0,DOWN,0.17389813739634405,1.0,1.0,0.235,0,0.17389813739634405,0.3,0.6
152,324,10455677,43,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,704,1.0,32.0,1.0,64.0,0.2807017543859649,1.0,DOWN,0.17389813739634405,1.0,1.0,0.235,0,0.17389813739634405,0.3,0.6
154,326,10455677,44,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,736,1.0,32.0,1.0,64.0,0.2807017543859649,1.0,DOWN,0.17389813739634405,1.0,1.0,0.2807017543859649,0,0.17389813739634405,0.3,0.6
156,328,10455677,45,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,768,1.0,32.0,1.0,64.0,0.6458333333333333,1.0,DOWN,0.17389813739634405,1.0,1.0,0.2807017543859649,0,0.17389813739634405,0.3,0.6
158,334,10455677,48,104582,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,3,864,1.0,32.0,1.0,64.0,0.6458333333333333,1.0,DOWN,0.17389813739634405,1.0,1.0,0.6458333333333333,0,0.17389813739634405,0.3,0.6
