index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
1981,30273564,31,356453,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,621,1.0,0.0,0.0,39.0,0.3796594569719282,0.609375,,0.95625,0.2,0.3796594569719282,7,,0.5,0.2
1983,30273564,32,356453,Absent,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,9,647,0.9625,15.0,0.0,35.0,0.0,0.453125,,1.0,0.0,0.3796594569719282,0,,0.5,0.2
1985,30273564,33,356453,Absent,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,9,673,0.9625,15.0,1.0,35.0,0.0,0.453125,,0.9625,0.0,0.0,6,,0.5,0.2
1989,30273564,35,356453,Absent,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,26,6,Unicorn_Absent,-1,-1.0,9,727,0.9625,15.0,1.0,35.0,0.0,0.453125,,0.9625,1.0,0.0,6,,0.5,0.2
1993,30273564,37,356453,Absent,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1.0,9,680,0.94375,15.0,1.0,44.0,0.0,0.546875,,0.9625,1.0,0.0,6,,0.5,0.2
1995,30273564,38,356453,Absent,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,23,9,Unicorn_Absent,-1,-1.0,9,703,0.94375,15.0,1.0,44.0,0.0,0.546875,,0.94375,1.0,0.0,9,,0.5,0.2
1999,30273564,40,356453,Absent,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1.0,9,756,0.95,10.0,0.08695652173913043,40.0,0.0,0.5,,0.94375,1.0,0.0,9,,0.5,0.2
2009,30273564,45,356453,Absent,46,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,10,22,Unicorn_Absent,-1,-1.0,9,677,0.8625,34.0,0.07317073170731707,51.0,0.17545454545454545,0.453125,,0.95,0.08695652173913043,0.0,8,,0.5,0.2
2013,30273564,47,356453,Absent,46,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,10,22,Unicorn_Absent,-1,-1.0,9,601,0.8625,34.0,1.0,51.0,0.17545454545454545,0.453125,,0.8625,0.07317073170731707,0.17545454545454545,22,,0.5,0.2
2015,30273564,48,356453,Absent,46,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,10,22,Unicorn_Absent,-1,-1.0,9,611,0.8625,34.0,1.0,51.0,0.11480075901328274,0.453125,,0.8625,1.0,0.17545454545454545,22,,0.5,0.2
