index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
862,73675253,12,73678,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,131,0.98125,3.0,1.0,34.0,0.72,0.484375,RS,0.98125,1.0,0.72,3,RS,0.025,0.99
868,73675253,15,73678,Absent,51,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,32,Unicorn_Absent,-1,-1,0,72,0.8,32.0,0.029411764705882353,64.0,0.736842105263158,0.5,RS,0.98125,1.0,0.72,3,RS,0.025,0.99
874,73675253,18,73678,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,32,Unicorn_Absent,-1,-1,5,19,0.8,32.0,0.3617021276595745,64.0,0.736842105263158,0.5,LEFT,0.8,0.029411764705882353,0.736842105263158,32,RS,0.025,0.99
886,73675253,24,73678,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,Unicorn_Absent,-1,-1,4,64,0.86875,32.0,0.3333333333333333,45.0,0.29738562091503273,0.375,UP,0.8,0.3617021276595745,0.736842105263158,32,LEFT,0.025,0.99
888,73675253,25,73678,Absent,59,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,7,25,Unicorn_Absent,-1,-1,0,71,0.84375,38.0,0.4583333333333333,47.0,0.29738562091503273,0.34375,RS,0.86875,0.3333333333333333,0.29738562091503273,21,UP,0.025,0.99
890,73675253,26,73678,Absent,59,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,7,25,Unicorn_Absent,-1,-1,0,78,0.84375,38.0,1.0,47.0,0.6851851851851851,0.34375,RS,0.84375,0.4583333333333333,0.29738562091503273,25,RS,0.025,0.99
894,73675253,28,73678,Absent,59,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,10,22,Unicorn_Absent,-1,-1,0,2,0.8625,38.0,1.0,53.0,0.6851851851851851,0.484375,RS,0.84375,1.0,0.6851851851851851,25,RS,0.025,0.99
898,73675253,30,73678,Absent,24,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,61,0.96875,19.0,0.32558139534883723,31.0,0.0,0.40625,RS,0.8625,1.0,0.6851851851851851,22,RS,0.025,0.99
900,73675253,31,73678,Absent,24,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,88,0.96875,19.0,1.0,31.0,0.0,0.40625,RS,0.96875,0.32558139534883723,0.0,5,RS,0.025,0.99
902,73675253,32,73678,Absent,24,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,115,0.96875,19.0,1.0,31.0,0.5018382352941176,0.40625,RS,0.96875,1.0,0.0,5,RS,0.025,0.99
