index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
5117,85797165,39,716594,Absent,55,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,253,0.925,34.0,1.0,38.0,0.0,0.40625,,0.925,1.0,0.0,12,,10,1
5131,85797165,46,716594,Absent,61,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,9,23,Unicorn_Absent,-1,-1.0,9,210,0.85625,39.0,0.30357142857142855,53.0,0.0,0.46875,,0.925,1.0,0.0,12,,10,1
5133,85797165,47,716594,Absent,61,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,9,23,Unicorn_Absent,-1,-1.0,9,219,0.85625,39.0,1.0,53.0,0.0,0.46875,,0.85625,0.30357142857142855,0.0,23,,10,1
5139,85797165,50,716594,Absent,61,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,9,23,Unicorn_Absent,-1,-1.0,9,153,0.85625,39.0,1.0,53.0,0.0,0.46875,,0.85625,1.0,0.0,23,,10,1
5145,85797165,53,716594,Absent,61,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,9,23,Unicorn_Absent,-1,-1.0,9,-12,0.85625,39.0,1.0,53.0,0.0,0.46875,,0.85625,1.0,0.0,23,,10,1
5149,85797165,55,716594,Absent,33,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,36,0.9,25.0,0.3333333333333333,51.0,0.0,0.546875,,0.85625,1.0,0.0,23,,10,1
5151,85797165,56,716594,Absent,33,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,52,0.9,25.0,1.0,51.0,0.0,0.546875,,0.9,0.3333333333333333,0.0,16,,10,1
5153,85797165,57,716594,Absent,33,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,68,0.9,25.0,1.0,51.0,0.0,0.546875,,0.9,1.0,0.0,16,,10,1
5155,85797165,58,716594,Absent,33,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,84,0.9,25.0,1.0,51.0,0.1449468085106383,0.546875,,0.9,1.0,0.0,16,,10,1
5159,85797165,60,716594,Absent,33,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,16,16,Unicorn_Absent,-1,-1.0,9,116,0.9,25.0,1.0,51.0,0.1449468085106383,0.546875,,0.9,1.0,0.1449468085106383,16,,10,1
5040,85797165,1,857933,Absent,56,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,11,21,Unicorn_Absent,-1,-1.0,0,11,0.86875,38.0,1.0,52.0,0.0982905982905983,0.484375,RS,,,,,,10,1
5042,85797165,2,857933,Absent,56,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,11,21,Unicorn_Absent,-1,-1.0,0,22,0.86875,38.0,1.0,52.0,0.0982905982905983,0.484375,RS,0.86875,1.0,0.0982905982905983,21,RS,10,1
5046,85797165,4,857933,Absent,48,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,75,0.93125,33.0,0.39215686274509803,52.0,0.0,0.640625,RS,0.86875,1.0,0.0982905982905983,21,RS,10,1
5048,85797165,5,857933,Absent,48,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,21,11,Unicorn_Absent,-1,-1.0,0,96,0.93125,33.0,1.0,52.0,0.0,0.640625,RS,0.93125,0.39215686274509803,0.0,11,RS,10,1
5064,85797165,13,857933,Absent,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,49,1.0,11.0,0.2222222222222222,11.0,0.0,0.171875,RS,0.93125,1.0,0.0,11,RS,10,1
5066,85797165,14,857933,Absent,40,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,0,81,1.0,30.0,0.10810810810810811,30.0,0.0,0.46875,RS,1.0,0.2222222222222222,0.0,0,RS,10,1
5068,85797165,15,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,92,0.86875,46.0,0.4074074074074074,52.0,0.0,0.484375,RS,1.0,0.10810810810810811,0.0,0,RS,10,1
5070,85797165,16,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,103,0.86875,46.0,1.0,52.0,0.0,0.484375,RS,0.86875,0.4074074074074074,0.0,21,RS,10,1
