"Dyad","Player","Region","RegionGo","RJcode","Score"
27366959,"273609","IN","IN","",32
27366959,"273609","IN","IN","",32
27366959,"273609","IN","IN","",32
27366959,"273609","IN","IN","",32
27366959,"273609","IN","IN","",32
27366959,"273609","IN",NA,"",32
27366959,"695934","ALL","IN","efghmnopuvwxCDEFKLMNSTUV012389;:",0
27366959,"695934","IN","OUT","jknstBCDEJMTU1",18
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT","OUT","",32
27366959,"695934","OUT",NA,"",32
29025581,"290256","IN","IN","w0",30
29025581,"290256","IN","RS","w0",30
29025581,"290256","RS","OUT","jmnrCDOTZ49",21
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT","OUT","",32
29025581,"290256","OUT",NA,"",32
29025581,"558110","RS","RS","w0",30
29025581,"558110","RS","RS","w0",30
29025581,"558110","RS","IN","jmnrCDOTZ49",21
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN","IN","",32
29025581,"558110","IN",NA,"",32
29349661,"293423","ALL","RS","bglsyCLRU4:",21
29349661,"293423","RS","RS","bcfjlmruILMOVX8",17
